TYPE_CRIME,TIME_PERIOD,OBS_VALUE
ARSON,2006,12659
ARSON,2007,16716
ARSON,2008,12662
ARSON,2009,10921
ARSON,2010,9622
ARSON,2011,12980
ARSON,2012,13170
ARSON,2013,7388
ARSON,2014,6855
ARSON,2015,8934
ARSON,2016,8005
ARSON,2017,10310
ARSON,2018,4750
ARSON,2019,6533
ARSON,2020,6303
ARSON,2021,6997
ARSON,2022,7002
ARSON,2023,5687
ARSON,2024,5437
ARTTHEF,2006,1142
ARTTHEF,2007,1018
ARTTHEF,2008,846
ARTTHEF,2009,762
ARTTHEF,2010,740
ARTTHEF,2011,728
ARTTHEF,2012,630
ARTTHEF,2013,592
ARTTHEF,2014,582
ARTTHEF,2015,474
ARTTHEF,2016,463
ARTTHEF,2017,411
ARTTHEF,2018,330
ARTTHEF,2019,310
ARTTHEF,2020,226
ARTTHEF,2021,267
ARTTHEF,2022,263
ARTTHEF,2023,212
ARTTHEF,2024,233
ATTACK,2006,618
ATTACK,2007,544
ATTACK,2008,447
ATTACK,2009,376
ATTACK,2010,490
ATTACK,2011,439
ATTACK,2012,522
ATTACK,2013,462
ATTACK,2014,386
ATTACK,2015,410
ATTACK,2016,328
ATTACK,2017,291
ATTACK,2018,275
ATTACK,2019,204
ATTACK,2020,243
ATTACK,2021,210
ATTACK,2022,197
ATTACK,2023,179
ATTACK,2024,236
ATTEMPHOM,2006,1468
ATTEMPHOM,2007,1588
ATTEMPHOM,2008,1621
ATTEMPHOM,2009,1346
ATTEMPHOM,2010,1309
ATTEMPHOM,2011,1401
ATTEMPHOM,2012,1327
ATTEMPHOM,2013,1222
ATTEMPHOM,2014,1250
ATTEMPHOM,2015,1203
ATTEMPHOM,2016,1079
ATTEMPHOM,2017,1098
ATTEMPHOM,2018,1050
ATTEMPHOM,2019,1019
ATTEMPHOM,2020,876
ATTEMPHOM,2021,928
ATTEMPHOM,2022,1018
ATTEMPHOM,2023,1033
ATTEMPHOM,2024,1143
BAGTHEF,2006,21492
BAGTHEF,2007,22920
BAGTHEF,2008,18678
BAGTHEF,2009,14910
BAGTHEF,2010,14242
