CITIZENSHIP,SEX,AGE,TIME_PERIOD,OBS_VALUE
FRG,1,Y_GE65,2007,2714
FRG,1,Y_GE65,2008,2196
FRG,1,Y_GE65,2009,1755
FRG,1,Y_GE65,2010,1643
FRG,1,Y_GE65,2011,1704
FRG,1,Y_GE65,2012,1841
FRG,1,Y_GE65,2013,1857
FRG,1,Y_GE65,2014,1809
FRG,1,Y_GE65,2015,2429
FRG,1,Y_GE65,2016,1509
FRG,1,Y_GE65,2017,2095
FRG,1,Y_GE65,2018,2917
FRG,1,Y_GE65,2019,2758
FRG,1,Y_GE65,2020,2640
FRG,1,Y_GE65,2021,3590
FRG,1,Y_GE65,2022,2980
ITL,1,Y_GE65,2007,23823
ITL,1,Y_GE65,2008,25731
ITL,1,Y_GE65,2009,27576
ITL,1,Y_GE65,2010,27829
ITL,1,Y_GE65,2011,29772
ITL,1,Y_GE65,2012,33050
ITL,1,Y_GE65,2013,34610
ITL,1,Y_GE65,2014,36016
ITL,1,Y_GE65,2015,36495
ITL,1,Y_GE65,2016,33643
ITL,1,Y_GE65,2017,32940
ITL,1,Y_GE65,2018,31521
ITL,1,Y_GE65,2019,33404
ITL,1,Y_GE65,2020,31831
ITL,1,Y_GE65,2021,33109
ITL,1,Y_GE65,2022,31758
TOTAL,1,Y_GE65,2007,26496
TOTAL,1,Y_GE65,2008,27876
TOTAL,1,Y_GE65,2009,29282
TOTAL,1,Y_GE65,2010,29450
TOTAL,1,Y_GE65,2011,31473
TOTAL,1,Y_GE65,2012,34891
TOTAL,1,Y_GE65,2013,36467
TOTAL,1,Y_GE65,2014,37825
TOTAL,1,Y_GE65,2015,38924
TOTAL,1,Y_GE65,2016,35152
TOTAL,1,Y_GE65,2017,35035
TOTAL,1,Y_GE65,2018,34438
TOTAL,1,Y_GE65,2019,36162
TOTAL,1,Y_GE65,2020,34471
TOTAL,1,Y_GE65,2021,36699
TOTAL,1,Y_GE65,2022,34738
FRG,1,Y_UN13,2007,915
FRG,1,Y_UN13,2008,726
FRG,1,Y_UN13,2009,472
FRG,1,Y_UN13,2010,322
FRG,1,Y_UN13,2011,504
FRG,1,Y_UN13,2012,429
FRG,1,Y_UN13,2013,566
FRG,1,Y_UN13,2014,507
FRG,1,Y_UN13,2015,1022
FRG,1,Y_UN13,2016,918
FRG,1,Y_UN13,2017,579
FRG,1,Y_UN13,2018,467
FRG,1,Y_UN13,2019,493
FRG,1,Y_UN13,2020,417
FRG,1,Y_UN13,2021,592
FRG,1,Y_UN13,2022,925
ITL,1,Y_UN13,2007,775
ITL,1,Y_UN13,2008,690
ITL,1,Y_UN13,2009,704
ITL,1,Y_UN13,2010,690
ITL,1,Y_UN13,2011,750
ITL,1,Y_UN13,2012,589
ITL,1,Y_UN13,2013,705
ITL,1,Y_UN13,2014,680
ITL,1,Y_UN13,2015,1068
ITL,1,Y_UN13,2016,1505
ITL,1,Y_UN13,2017,825
ITL,1,Y_UN13,2018,718
ITL,1,Y_UN13,2019,814
ITL,1,Y_UN13,2020,468
ITL,1,Y_UN13,2021,605
ITL,1,Y_UN13,2022,745
TOTAL,1,Y_UN13,2007,1690
TOTAL,1,Y_UN13,2008,1417
TOTAL,1,Y_UN13,2009,1176
TOTAL,1,Y_UN13,2010,1012
TOTAL,1,Y_UN13,2011,1253
TOTAL,1,Y_UN13,2012,1018
TOTAL,1,Y_UN13,2013,1271
TOTAL,1,Y_UN13,2014,1187
TOTAL,1,Y_UN13,2015,2090
TOTAL,1,Y_UN13,2016,2423
TOTAL,1,Y_UN13,2017,1404
TOTAL,1,Y_UN13,2018,1185
TOTAL,1,Y_UN13,2019,1307
TOTAL,1,Y_UN13,2020,885
TOTAL,1,Y_UN13,2021,1197
TOTAL,1,Y_UN13,2022,1670
FRG,1,Y14-17,2007,10695
FRG,1,Y14-17,2008,10293
FRG,1,Y14-17,2009,8152
FRG,1,Y14-17,2010,8094
FRG,1,Y14-17,2011,9786
FRG,1,Y14-17,2012,9933
FRG,1,Y14-17,2013,10117
FRG,1,Y14-17,2014,11741
FRG,1,Y14-17,2015,12283
FRG,1,Y14-17,2016,9946
FRG,1,Y14-17,2017,10855
FRG,1,Y14-17,2018,11108
FRG,1,Y14-17,2019,10241
FRG,1,Y14-17,2020,9651
FRG,1,Y14-17,2021,11596
FRG,1,Y14-17,2022,13286
ITL,1,Y14-17,2007,14712
ITL,1,Y14-17,2008,15186
ITL,1,Y14-17,2009,16385
ITL,1,Y14-17,2010,15530
ITL,1,Y14-17,2011,15855
ITL,1,Y14-17,2012,15383
ITL,1,Y14-17,2013,14625
ITL,1,Y14-17,2014,14476
ITL,1,Y14-17,2015,14606
ITL,1,Y14-17,2016,16507
ITL,1,Y14-17,2017,14957
ITL,1,Y14-17,2018,13374
ITL,1,Y14-17,2019,13722
ITL,1,Y14-17,2020,12249
ITL,1,Y14-17,2021,13502
ITL,1,Y14-17,2022,14850
TOTAL,1,Y14-17,2007,25286
TOTAL,1,Y14-17,2008,25375
TOTAL,1,Y14-17,2009,24453
TOTAL,1,Y14-17,2010,23578
TOTAL,1,Y14-17,2011,25586
TOTAL,1,Y14-17,2012,25316
TOTAL,1,Y14-17,2013,24742
TOTAL,1,Y14-17,2014,26217
TOTAL,1,Y14-17,2015,26889
TOTAL,1,Y14-17,2016,26453
TOTAL,1,Y14-17,2017,25812
TOTAL,1,Y14-17,2018,24482
TOTAL,1,Y14-17,2019,23963
TOTAL,1,Y14-17,2020,21900
TOTAL,1,Y14-17,2021,25098
TOTAL,1,Y14-17,2022,28136
FRG,1,Y18-24,2007,63421
FRG,1,Y18-24,2008,63159
FRG,1,Y18-24,2009,57295
FRG,1,Y18-24,2010,55086
FRG,1,Y18-24,2011,56726
FRG,1,Y18-24,2012,56542
FRG,1,Y18-24,2013,57978
FRG,1,Y18-24,2014,57494
FRG,1,Y18-24,2015,56581
FRG,1,Y18-24,2016,51973
FRG,1,Y18-24,2017,53382
FRG,1,Y18-24,2018,55250
FRG,1,Y18-24,2019,50536
FRG,1,Y18-24,2020,44715
FRG,1,Y18-24,2021,46451
FRG,1,Y18-24,2022,48095
ITL,1,Y18-24,2007,62277
ITL,1,Y18-24,2008,63463
ITL,1,Y18-24,2009,62946
ITL,1,Y18-24,2010,64005
ITL,1,Y18-24,2011,66206
ITL,1,Y18-24,2012,67187
ITL,1,Y18-24,2013,69451
ITL,1,Y18-24,2014,66647
ITL,1,Y18-24,2015,62306
ITL,1,Y18-24,2016,65011
ITL,1,Y18-24,2017,62725
ITL,1,Y18-24,2018,58023
ITL,1,Y18-24,2019,57180
ITL,1,Y18-24,2020,56433
ITL,1,Y18-24,2021,57217
ITL,1,Y18-24,2022,57801
TOTAL,1,Y18-24,2007,125575
TOTAL,1,Y18-24,2008,126449
TOTAL,1,Y18-24,2009,120171
TOTAL,1,Y18-24,2010,119030
TOTAL,1,Y18-24,2011,122847
TOTAL,1,Y18-24,2012,123729
TOTAL,1,Y18-24,2013,127429
TOTAL,1,Y18-24,2014,124141
TOTAL,1,Y18-24,2015,118887
TOTAL,1,Y18-24,2016,116984
TOTAL,1,Y18-24,2017,116107
TOTAL,1,Y18-24,2018,113273
TOTAL,1,Y18-24,2019,107716
TOTAL,1,Y18-24,2020,101148
TOTAL,1,Y18-24,2021,103668
TOTAL,1,Y18-24,2022,105896
FRG,1,Y25-34,2007,96812
FRG,1,Y25-34,2008,99971
FRG,1,Y25-34,2009,91911
FRG,1,Y25-34,2010,89930
FRG,1,Y25-34,2011,91343
FRG,1,Y25-34,2012,91847
FRG,1,Y25-34,2013,94718
FRG,1,Y25-34,2014,94181
FRG,1,Y25-34,2015,91481
FRG,1,Y25-34,2016,83074
FRG,1,Y25-34,2017,80207
FRG,1,Y25-34,2018,80327
FRG,1,Y25-34,2019,76305
FRG,1,Y25-34,2020,70943
FRG,1,Y25-34,2021,73700
FRG,1,Y25-34,2022,77037
ITL,1,Y25-34,2007,112063
ITL,1,Y25-34,2008,114061
ITL,1,Y25-34,2009,108943
ITL,1,Y25-34,2010,106241
ITL,1,Y25-34,2011,105462
ITL,1,Y25-34,2012,106320
ITL,1,Y25-34,2013,109954
ITL,1,Y25-34,2014,105711
ITL,1,Y25-34,2015,103346
ITL,1,Y25-34,2016,104563
ITL,1,Y25-34,2017,103472
ITL,1,Y25-34,2018,96136
ITL,1,Y25-34,2019,94550
ITL,1,Y25-34,2020,90739
ITL,1,Y25-34,2021,91393
ITL,1,Y25-34,2022,86897
TOTAL,1,Y25-34,2007,208742
TOTAL,1,Y25-34,2008,213909
TOTAL,1,Y25-34,2009,200743
TOTAL,1,Y25-34,2010,196103
TOTAL,1,Y25-34,2011,196750
TOTAL,1,Y25-34,2012,198167
TOTAL,1,Y25-34,2013,204672
TOTAL,1,Y25-34,2014,199892
TOTAL,1,Y25-34,2015,194827
TOTAL,1,Y25-34,2016,187637
TOTAL,1,Y25-34,2017,183679
TOTAL,1,Y25-34,2018,176463
TOTAL,1,Y25-34,2019,170855
TOTAL,1,Y25-34,2020,161682
TOTAL,1,Y25-34,2021,165093
TOTAL,1,Y25-34,2022,163934
FRG,1,Y35-44,2007,49800
FRG,1,Y35-44,2008,51406
FRG,1,Y35-44,2009,47786
FRG,1,Y35-44,2010,49121
FRG,1,Y35-44,2011,50028
FRG,1,Y35-44,2012,51521
FRG,1,Y35-44,2013,54582
FRG,1,Y35-44,2014,55189
FRG,1,Y35-44,2015,56019
FRG,1,Y35-44,2016,48750
FRG,1,Y35-44,2017,47106
FRG,1,Y35-44,2018,49524
FRG,1,Y35-44,2019,48912
FRG,1,Y35-44,2020,45793
FRG,1,Y35-44,2021,49010
FRG,1,Y35-44,2022,50679
ITL,1,Y35-44,2007,120876
ITL,1,Y35-44,2008,127562
ITL,1,Y35-44,2009,125545
ITL,1,Y35-44,2010,125351
ITL,1,Y35-44,2011,130393
ITL,1,Y35-44,2012,135075
ITL,1,Y35-44,2013,139111
ITL,1,Y35-44,2014,138608
ITL,1,Y35-44,2015,132340
ITL,1,Y35-44,2016,127127
ITL,1,Y35-44,2017,124600
ITL,1,Y35-44,2018,116806
ITL,1,Y35-44,2019,115009
ITL,1,Y35-44,2020,106091
ITL,1,Y35-44,2021,104948
ITL,1,Y35-44,2022,99331
TOTAL,1,Y35-44,2007,170556
TOTAL,1,Y35-44,2008,178854
TOTAL,1,Y35-44,2009,173270
TOTAL,1,Y35-44,2010,174433
TOTAL,1,Y35-44,2011,180376
TOTAL,1,Y35-44,2012,186596
TOTAL,1,Y35-44,2013,193693
TOTAL,1,Y35-44,2014,193797
TOTAL,1,Y35-44,2015,188359
TOTAL,1,Y35-44,2016,175877
TOTAL,1,Y35-44,2017,171706
TOTAL,1,Y35-44,2018,166330
TOTAL,1,Y35-44,2019,163921
TOTAL,1,Y35-44,2020,151884
TOTAL,1,Y35-44,2021,153958
TOTAL,1,Y35-44,2022,150010
FRG,1,Y45-54,2007,17810
FRG,1,Y45-54,2008,19036
FRG,1,Y45-54,2009,17597
FRG,1,Y45-54,2010,18686
FRG,1,Y45-54,2011,19008
FRG,1,Y45-54,2012,19854
FRG,1,Y45-54,2013,22038
FRG,1,Y45-54,2014,22718
FRG,1,Y45-54,2015,24618
FRG,1,Y45-54,2016,20201
FRG,1,Y45-54,2017,20552
FRG,1,Y45-54,2018,22867
FRG,1,Y45-54,2019,22262
FRG,1,Y45-54,2020,20342
FRG,1,Y45-54,2021,23669
FRG,1,Y45-54,2022,23359
ITL,1,Y45-54,2007,79295
ITL,1,Y45-54,2008,87409
ITL,1,Y45-54,2009,89182
ITL,1,Y45-54,2010,92226
ITL,1,Y45-54,2011,99431
ITL,1,Y45-54,2012,104818
ITL,1,Y45-54,2013,112123
ITL,1,Y45-54,2014,115880
ITL,1,Y45-54,2015,115179
ITL,1,Y45-54,2016,110608
ITL,1,Y45-54,2017,110613
ITL,1,Y45-54,2018,107486
ITL,1,Y45-54,2019,107325
ITL,1,Y45-54,2020,101765
ITL,1,Y45-54,2021,102968
ITL,1,Y45-54,2022,97017
TOTAL,1,Y45-54,2007,97037
TOTAL,1,Y45-54,2008,106373
TOTAL,1,Y45-54,2009,106745
TOTAL,1,Y45-54,2010,110888
TOTAL,1,Y45-54,2011,118399
TOTAL,1,Y45-54,2012,124672
TOTAL,1,Y45-54,2013,134161
TOTAL,1,Y45-54,2014,138598
TOTAL,1,Y45-54,2015,139797
TOTAL,1,Y45-54,2016,130809
TOTAL,1,Y45-54,2017,131165
TOTAL,1,Y45-54,2018,130353
TOTAL,1,Y45-54,2019,129587
TOTAL,1,Y45-54,2020,122107
TOTAL,1,Y45-54,2021,126637
TOTAL,1,Y45-54,2022,120376
FRG,1,Y55-64,2007,5226
FRG,1,Y55-64,2008,5150
FRG,1,Y55-64,2009,4635
FRG,1,Y55-64,2010,4882
FRG,1,Y55-64,2011,4946
FRG,1,Y55-64,2012,5617
FRG,1,Y55-64,2013,5835
FRG,1,Y55-64,2014,6519
FRG,1,Y55-64,2015,7311
FRG,1,Y55-64,2016,5190
FRG,1,Y55-64,2017,6110
FRG,1,Y55-64,2018,7372
FRG,1,Y55-64,2019,7620
FRG,1,Y55-64,2020,6926
FRG,1,Y55-64,2021,8493
FRG,1,Y55-64,2022,8025
ITL,1,Y55-64,2007,44717
ITL,1,Y55-64,2008,47922
ITL,1,Y55-64,2009,49834
ITL,1,Y55-64,2010,51196
ITL,1,Y55-64,2011,54355
ITL,1,Y55-64,2012,57024
ITL,1,Y55-64,2013,59996
ITL,1,Y55-64,2014,62707
ITL,1,Y55-64,2015,62090
ITL,1,Y55-64,2016,59258
ITL,1,Y55-64,2017,59105
ITL,1,Y55-64,2018,57176
ITL,1,Y55-64,2019,59429
ITL,1,Y55-64,2020,57748
ITL,1,Y55-64,2021,58434
ITL,1,Y55-64,2022,55823
TOTAL,1,Y55-64,2007,49906
TOTAL,1,Y55-64,2008,53019
TOTAL,1,Y55-64,2009,54456
TOTAL,1,Y55-64,2010,56067
TOTAL,1,Y55-64,2011,59287
TOTAL,1,Y55-64,2012,62641
TOTAL,1,Y55-64,2013,65831
TOTAL,1,Y55-64,2014,69226
TOTAL,1,Y55-64,2015,69401
TOTAL,1,Y55-64,2016,64448
TOTAL,1,Y55-64,2017,65215
TOTAL,1,Y55-64,2018,64548
TOTAL,1,Y55-64,2019,67049
