SEX,AGE,TIME_PERIOD,OBS_VALUE
1,Y_GE65,2007,43
1,Y_GE65,2008,41
1,Y_GE65,2009,57
1,Y_GE65,2010,37
1,Y_GE65,2011,45
1,Y_GE65,2012,46
1,Y_GE65,2013,41
1,Y_GE65,2014,53
1,Y_GE65,2015,48
1,Y_GE65,2016,35
1,Y_GE65,2017,27
1,Y_GE65,2018,34
1,Y_GE65,2019,35
1,Y_GE65,2020,28
1,Y_GE65,2021,33
1,Y_GE65,2022,31
1,Y_GE65,2023,30
1,Y_GE65,2024,40
1,Y_UN13,2007,9
1,Y_UN13,2008,6
1,Y_UN13,2009,11
1,Y_UN13,2010,10
1,Y_UN13,2011,9
1,Y_UN13,2012,6
1,Y_UN13,2013,5
1,Y_UN13,2014,20
1,Y_UN13,2015,4
1,Y_UN13,2016,10
1,Y_UN13,2017,7
1,Y_UN13,2018,7
1,Y_UN13,2019,9
1,Y_UN13,2020,5
1,Y_UN13,2021,11
1,Y_UN13,2022,4
1,Y_UN13,2023,2
1,Y_UN13,2024,7
1,Y14-17,2007,6
1,Y14-17,2008,6
1,Y14-17,2009,8
1,Y14-17,2010,5
1,Y14-17,2011,2
1,Y14-17,2012,3
1,Y14-17,2013,3
1,Y14-17,2014,3
1,Y14-17,2015,4
1,Y14-17,2016,1
1,Y14-17,2017,4
1,Y14-17,2018,1
1,Y14-17,2019,0
1,Y14-17,2020,2
1,Y14-17,2021,2
1,Y14-17,2022,3
1,Y14-17,2023,5
1,Y14-17,2024,8
1,Y18-24,2007,53
1,Y18-24,2008,52
1,Y18-24,2009,49
1,Y18-24,2010,34
1,Y18-24,2011,41
1,Y18-24,2012,34
1,Y18-24,2013,37
1,Y18-24,2014,21
1,Y18-24,2015,27
1,Y18-24,2016,21
1,Y18-24,2017,29
1,Y18-24,2018,24
1,Y18-24,2019,13
1,Y18-24,2020,13
1,Y18-24,2021,13
1,Y18-24,2022,22
1,Y18-24,2023,19
1,Y18-24,2024,22
1,Y25-34,2007,134
1,Y25-34,2008,96
1,Y25-34,2009,101
1,Y25-34,2010,82
1,Y25-34,2011,81
1,Y25-34,2012,70
1,Y25-34,2013,60
1,Y25-34,2014,69
1,Y25-34,2015,63
1,Y25-34,2016,46
1,Y25-34,2017,39
1,Y25-34,2018,37
1,Y25-34,2019,43
1,Y25-34,2020,25
1,Y25-34,2021,34
1,Y25-34,2022,32
1,Y25-34,2023,52
1,Y25-34,2024,37
1,Y35-44,2007,109
1,Y35-44,2008,133
1,Y35-44,2009,89
1,Y35-44,2010,91
1,Y35-44,2011,94
1,Y35-44,2012,85
1,Y35-44,2013,73
1,Y35-44,2014,75
1,Y35-44,2015,72
1,Y35-44,2016,65
1,Y35-44,2017,43
1,Y35-44,2018,41
1,Y35-44,2019,32
1,Y35-44,2020,45
1,Y35-44,2021,29
1,Y35-44,2022,40
1,Y35-44,2023,33
1,Y35-44,2024,48
1,Y45-54,2007,79
1,Y45-54,2008,81
1,Y45-54,2009,66
1,Y45-54,2010,65
1,Y45-54,2011,61
1,Y45-54,2012,84
1,Y45-54,2013,71
1,Y45-54,2014,58
1,Y45-54,2015,72
1,Y45-54,2016,59
1,Y45-54,2017,73
1,Y45-54,2018,39
1,Y45-54,2019,39
1,Y45-54,2020,35
1,Y45-54,2021,34
1,Y45-54,2022,41
1,Y45-54,2023,45
1,Y45-54,2024,33
1,Y55-64,2007,46
1,Y55-64,2008,47
1,Y55-64,2009,35
1,Y55-64,2010,48
1,Y55-64,2011,40
1,Y55-64,2012,45
1,Y55-64,2013,31
1,Y55-64,2014,31
1,Y55-64,2015,38
1,Y55-64,2016,29
1,Y55-64,2017,33
1,Y55-64,2018,30
1,Y55-64,2019,37
1,Y55-64,2020,19
1,Y55-64,2021,27
1,Y55-64,2022,31
1,Y55-64,2023,34
1,Y55-64,2024,20
2,Y_GE65,2007,34
2,Y_GE65,2008,36
2,Y_GE65,2009,50
2,Y_GE65,2010,41
2,Y_GE65,2011,39
2,Y_GE65,2012,52
2,Y_GE65,2013,55
2,Y_GE65,2014,47
2,Y_GE65,2015,44
2,Y_GE65,2016,46
2,Y_GE65,2017,37
2,Y_GE65,2018,44
2,Y_GE65,2019,37
2,Y_GE65,2020,30
2,Y_GE65,2021,49
2,Y_GE65,2022,42
2,Y_GE65,2023,49
2,Y_GE65,2024,44
2,Y_UN13,2007,7
2,Y_UN13,2008,7
2,Y_UN13,2009,11
2,Y_UN13,2010,6
2,Y_UN13,2011,6
2,Y_UN13,2012,8
2,Y_UN13,2013,4
2,Y_UN13,2014,11
2,Y_UN13,2015,5
2,Y_UN13,2016,10
2,Y_UN13,2017,8
2,Y_UN13,2018,6
2,Y_UN13,2019,6
2,Y_UN13,2020,5
2,Y_UN13,2021,3
2,Y_UN13,2022,4
2,Y_UN13,2023,1
2,Y_UN13,2024,4
2,Y14-17,2007,4
2,Y14-17,2008,4
2,Y14-17,2009,2
2,Y14-17,2010,3
2,Y14-17,2011,0
2,Y14-17,2012,2
2,Y14-17,2013,1
2,Y14-17,2014,1
2,Y14-17,2015,0
2,Y14-17,2016,0
2,Y14-17,2017,2
2,Y14-17,2018,1
2,Y14-17,2019,0
2,Y14-17,2020,1
2,Y14-17,2021,3
2,Y14-17,2022,2
2,Y14-17,2023,2
2,Y14-17,2024,0
2,Y18-24,2007,16
2,Y18-24,2008,17
2,Y18-24,2009,16
2,Y18-24,2010,7
2,Y18-24,2011,17
2,Y18-24,2012,11
2,Y18-24,2013,12
2,Y18-24,2014,5
2,Y18-24,2015,11
2,Y18-24,2016,7
2,Y18-24,2017,6
2,Y18-24,2018,10
2,Y18-24,2019,3
2,Y18-24,2020,0
2,Y18-24,2021,4
2,Y18-24,2022,4
2,Y18-24,2023,6
2,Y18-24,2024,6
2,Y25-34,2007,17
2,Y25-34,2008,30
2,Y25-34,2009,23
2,Y25-34,2010,21
2,Y25-34,2011,24
2,Y25-34,2012,25
2,Y25-34,2013,21
2,Y25-34,2014,27
2,Y25-34,2015,17
2,Y25-34,2016,15
2,Y25-34,2017,11
2,Y25-34,2018,12
2,Y25-34,2019,17
2,Y25-34,2020,17
2,Y25-34,2021,15
2,Y25-34,2022,13
2,Y25-34,2023,12
2,Y25-34,2024,11
2,Y35-44,2007,30
2,Y35-44,2008,19
2,Y35-44,2009,34
2,Y35-44,2010,31
2,Y35-44,2011,27
2,Y35-44,2012,26
2,Y35-44,2013,28
2,Y35-44,2014,20
2,Y35-44,2015,24
2,Y35-44,2016,18
2,Y35-44,2017,16
2,Y35-44,2018,18
2,Y35-44,2019,19
2,Y35-44,2020,20
2,Y35-44,2021,15
2,Y35-44,2022,20
2,Y35-44,2023,14
2,Y35-44,2024,12
2,Y45-54,2007,27
2,Y45-54,2008,20
2,Y45-54,2009,22
2,Y45-54,2010,31
2,Y45-54,2011,31
2,Y45-54,2012,21
2,Y45-54,2013,35
2,Y45-54,2014,19
2,Y45-54,2015,33
2,Y45-54,2016,23
2,Y45-54,2017,22
2,Y45-54,2018,22
2,Y45-54,2019,22
2,Y45-54,2020,24
2,Y45-54,2021,21
2,Y45-54,2022,23
2,Y45-54,2023,18
2,Y45-54,2024,25
2,Y55-64,2007,13
2,Y55-64,2008,14
2,Y55-64,2009,13
2,Y55-64,2010,15
2,Y55-64,2011,16
2,Y55-64,2012,14
2,Y55-64,2013,25
2,Y55-64,2014,17
2,Y55-64,2015,9
2,Y55-64,2016,18
2,Y55-64,2017,13
2,Y55-64,2018,8
2,Y55-64,2019,11
2,Y55-64,2020,18
2,Y55-64,2021,15
2,Y55-64,2022,20
2,Y55-64,2023,22
2,Y55-64,2024,11
