line,direction,from_station,to_station,total,early,am_peak,midday,pm_peak,evening,late
Bakerloo,NB,Elephant & Castle LU,Lambeth North,308.0,13.0,57.0,96.0,59.0,49.0,34.0
Bakerloo,NB,Lambeth North,Waterloo LU,308.0,12.0,57.0,96.0,59.0,49.0,35.0
Bakerloo,NB,Waterloo LU,Embankment,315.0,16.0,60.0,96.0,58.0,50.0,35.0
Bakerloo,NB,Embankment,Charing Cross LU,315.0,16.0,59.0,96.0,59.0,49.0,36.0
Bakerloo,NB,Charing Cross LU,Piccadilly Circus,315.0,15.0,60.0,96.0,58.0,50.0,36.0
Bakerloo,NB,Piccadilly Circus,Oxford Circus,315.0,15.0,59.0,96.0,59.0,49.0,37.0
Bakerloo,NB,Oxford Circus,Regent's Park,315.0,14.0,60.0,96.0,58.0,50.0,37.0
Bakerloo,NB,Regent's Park,Baker Street,315.0,14.0,59.0,96.0,58.0,50.0,38.0
Bakerloo,NB,Baker Street,Marylebone LU,315.0,13.0,59.0,97.0,58.0,50.0,38.0
Bakerloo,NB,Marylebone LU,Edgware Road (Bak),315.0,13.0,59.0,97.0,57.0,51.0,38.0
Bakerloo,NB,Edgware Road (Bak),Paddington TfL,315.0,13.0,59.0,96.0,58.0,50.0,39.0
Bakerloo,NB,Paddington TfL,Warwick Avenue,315.0,12.0,59.0,97.0,57.0,51.0,39.0
Bakerloo,NB,Warwick Avenue,Maida Vale,315.0,12.0,58.0,97.0,58.0,50.0,40.0
Bakerloo,NB,Maida Vale,Kilburn Park,315.0,11.0,59.0,97.0,57.0,51.0,40.0
Bakerloo,NB,Kilburn Park,Queen's Park,315.0,11.0,58.0,97.0,57.0,51.0,41.0
Bakerloo,NB,Queen's Park,Kensal Green,162.0,9.0,28.0,48.0,28.0,27.0,22.0
Bakerloo,NB,Kensal Green,Willesden Junction,162.0,8.0,28.0,49.0,27.0,28.0,22.0
Bakerloo,NB,Willesden Junction,Harlesden,162.0,8.0,27.0,50.0,26.0,28.0,23.0
Bakerloo,NB,Harlesden,Stonebridge Park,162.0,8.0,27.0,50.0,26.0,28.0,23.0
Bakerloo,NB,Stonebridge Park,Wembley Central,85.0,8.0,15.0,24.0,16.0,12.0,10.0
Bakerloo,NB,Wembley Central,North Wembley,85.0,8.0,15.0,23.0,17.0,11.0,11.0
Bakerloo,NB,North Wembley,South Kenton,85.0,7.0,15.0,24.0,16.0,12.0,11.0
Bakerloo,NB,South Kenton,Kenton,85.0,7.0,15.0,24.0,16.0,12.0,11.0
Bakerloo,NB,Kenton,Harrow & Wealdstone,85.0,7.0,15.0,24.0,16.0,12.0,11.0
Bakerloo,SB,Harrow & Wealdstone,Kenton,83.0,5.0,15.0,24.0,15.0,13.0,11.0
Bakerloo,SB,Kenton,South Kenton,83.0,5.0,15.0,24.0,15.0,13.0,11.0
Bakerloo,SB,South Kenton,North Wembley,83.0,4.0,16.0,24.0,15.0,13.0,11.0
Bakerloo,SB,North Wembley,Wembley Central,83.0,4.0,16.0,24.0,15.0,13.0,11.0
Bakerloo,SB,Wembley Central,Stonebridge Park,83.0,4.0,15.0,24.0,15.0,13.0,12.0
Bakerloo,SB,Stonebridge Park,Harlesden,160.0,11.0,27.0,49.0,30.0,24.0,19.0
Bakerloo,SB,Harlesden,Willesden Junction,160.0,11.0,27.0,49.0,30.0,24.0,19.0
Bakerloo,SB,Willesden Junction,Kensal Green,160.0,11.0,27.0,48.0,31.0,24.0,19.0
Bakerloo,SB,Kensal Green,Queen's Park,160.0,11.0,26.0,49.0,30.0,24.0,20.0
Bakerloo,SB,Queen's Park,Kilburn Park,313.0,17.0,57.0,97.0,60.0,48.0,34.0
Bakerloo,SB,Kilburn Park,Maida Vale,313.0,17.0,57.0,96.0,60.0,49.0,34.0
Bakerloo,SB,Maida Vale,Warwick Avenue,313.0,16.0,57.0,97.0,60.0,48.0,35.0
Bakerloo,SB,Warwick Avenue,Paddington TfL,313.0,16.0,57.0,96.0,60.0,49.0,35.0
Bakerloo,SB,Paddington TfL,Edgware Road (Bak),313.0,15.0,57.0,97.0,59.0,50.0,35.0
Bakerloo,SB,Edgware Road (Bak),Marylebone LU,313.0,15.0,57.0,96.0,60.0,49.0,36.0
Bakerloo,SB,Marylebone LU,Baker Street,313.0,14.0,58.0,96.0,59.0,50.0,36.0
Bakerloo,SB,Baker Street,Regent's Park,313.0,14.0,57.0,96.0,60.0,49.0,37.0
Bakerloo,SB,Regent's Park,Oxford Circus,313.0,14.0,57.0,96.0,59.0,50.0,37.0
Bakerloo,SB,Oxford Circus,Piccadilly Circus,313.0,13.0,57.0,96.0,60.0,49.0,38.0
Bakerloo,SB,Piccadilly Circus,Charing Cross LU,313.0,12.0,58.0,96.0,59.0,50.0,38.0
Bakerloo,SB,Charing Cross LU,Embankment,313.0,12.0,57.0,96.0,59.0,50.0,39.0
Bakerloo,SB,Embankment,Waterloo LU,313.0,12.0,57.0,96.0,59.0,50.0,39.0
Bakerloo,SB,Waterloo LU,Lambeth North,307.0,11.0,57.0,97.0,58.0,50.0,34.0
Bakerloo,SB,Lambeth North,Elephant & Castle LU,307.0,11.0,57.0,96.0,59.0,49.0,35.0
