station,zone,daily_total,lambda_peak_15min,trains_peak_15min,mu_peak_15min,rho,lines
Clapham Junction,2,43359.72,2068.0,2.25,1800.0,1.1489,LO Mildmay/LO Windrush
Heathrow Terminal 5 EL,6,12571.03,271.7,0.5,400.0,0.6792,Elizabeth Line
Abbey Wood,4,24309.28,1359.2,2.75,2200.0,0.6178,Elizabeth Line
Crystal Palace,3/4,6616.84,461.4,1.0,800.0,0.5767,LO Windrush
Watford Junction,10,12911.56,444.2,1.0,800.0,0.5552,LO Lioness
Cheshunt,8,3764.9,217.5,0.5,400.0,0.5438,LO Weaver
Euston NR,1,24534.39,396.8,0.92,733.3,0.5411,LO Lioness
Richmond,4,24054.88,1072.3,2.67,2133.3,0.5027,District/LO Mildmay
Wimbledon,3,34734.0,1455.6,3.67,2933.3,0.4962,District
New Cross,2,7024.12,364.7,1.0,800.0,0.4558,LO Windrush
West Croydon NR,5,9384.26,336.2,1.0,800.0,0.4202,LO Windrush
Peckham Rye,2,12991.75,663.5,2.0,1600.0,0.4147,LO Windrush
Liverpool Street NR,1,63530.75,406.0,1.33,1066.7,0.3806,Elizabeth Line/LO Weaver
Amersham,9,3562.34,242.8,0.83,666.7,0.3642,Metropolitan
Chingford,5,4606.08,288.7,1.0,800.0,0.3609,LO Weaver
Reading,CPC,8253.54,257.0,0.92,733.3,0.3505,Elizabeth Line
Maidenhead,CPC,10311.66,621.6,2.25,1800.0,0.3453,Elizabeth Line
Chesham,9,1905.99,124.9,0.5,400.0,0.3123,Metropolitan
Norwood Junction,4,8242.0,461.8,2.0,1600.0,0.2886,LO Windrush
Denmark Hill,2,12966.9,458.7,2.0,1600.0,0.2867,LO Windrush
Slough,CPC,10794.25,483.6,2.33,1866.7,0.2591,Elizabeth Line
Twyford,CPC,6502.76,362.2,1.75,1400.0,0.2587,Elizabeth Line
Enfield Town,5,4402.22,181.5,0.92,733.3,0.2476,LO Weaver
Woolwich EL,4,23700.17,1018.9,5.42,4333.3,0.2351,Elizabeth Line
Brixton LU,2,33492.57,1557.0,8.83,7066.7,0.2203,Victoria
Hammersmith (H&C),2,17149.85,523.5,3.0,2400.0,0.2181,H&C and Circle
Queens Road Peckham,2,6860.77,345.1,2.0,1600.0,0.2157,LO Windrush
Epping,6,5579.96,286.9,1.83,1466.7,0.1956,Central
Battersea Power Station,1,14637.88,437.4,2.83,2266.7,0.193,Northern
Highams Park,4,5145.09,307.2,2.08,1666.7,0.1843,LO Weaver
Waterloo LU,1,147569.64,5961.4,40.58,32466.7,0.1836,Bakerloo/Jubilee/Northern/Waterloo & City
Mill Hill East,4,2945.75,195.7,1.33,1066.7,0.1835,Northern
Forest Hill,3,9415.73,583.1,4.0,3200.0,0.1822,LO Windrush
Shenfield,12,6285.08,370.9,2.58,2066.7,0.1794,Elizabeth Line
Romford,6,23720.62,900.9,6.33,5066.7,0.1778,Elizabeth Line/LO Liberty
Woolwich Arsenal,4,13257.7,468.2,3.33,2666.7,0.1756,DLR
West Drayton,6,6528.58,304.5,2.33,1866.7,0.1631,Elizabeth Line
Stratford International DLR,2/3,6763.03,213.0,1.67,1333.3,0.1598,DLR
Heathrow Terminals 2 & 3 EL,6,17170.61,375.8,3.0,2400.0,0.1566,Elizabeth Line
Canary Wharf EL,2,32987.48,680.4,5.5,4400.0,0.1546,Elizabeth Line
Heathrow Terminal 4 EL,6,5179.19,121.8,1.0,800.0,0.1522,Elizabeth Line
Upminster,6,7780.13,437.0,3.67,2933.3,0.149,District/LO Liberty
Harrow & Wealdstone,5,8864.86,358.4,3.17,2533.3,0.1415,Bakerloo/LO Lioness
Sydenham,3,7575.24,452.5,4.0,3200.0,0.1414,LO Windrush
Ealing Broadway,3,26567.12,993.9,9.42,7533.3,0.1319,Central/District/Elizabeth Line
Shepherd's Bush NR,2,14840.44,259.7,2.5,2000.0,0.1298,LO Mildmay
Hayes & Harlington,5,15397.86,560.7,5.42,4333.3,0.1294,Elizabeth Line
Clapton,2/3,4176.73,206.7,2.0,1600.0,0.1292,LO Weaver
Morden,4,14468.91,682.0,6.92,5533.3,0.1232,Northern
Bush Hill Park,5,3727.61,172.0,1.75,1400.0,0.1228,LO Weaver
Barking Riverside,4,1969.74,94.5,1.0,800.0,0.1181,LO Suffragette
Walthamstow Central,3,21926.47,957.2,10.17,8133.3,0.1177,LO Weaver/Victoria
Lewisham DLR,2/3,11154.72,450.3,4.83,3866.7,0.1165,DLR
Wood Street,4,3750.2,185.8,2.0,1600.0,0.1162,LO Weaver
Watford,7,3048.83,170.3,1.83,1466.7,0.1161,Metropolitan
Bushey,8,4058.32,184.6,2.0,1600.0,0.1154,LO Lioness
Victoria LU,1,101890.61,2845.4,31.25,25000.0,0.1138,District/H&C and Circle/Victoria
Ilford,4,17713.76,537.5,5.92,4733.3,0.1136,Elizabeth Line
Turkey Street,6,2262.5,94.2,1.08,866.7,0.1087,LO Weaver
Burnham,CPC,4175.55,202.5,2.33,1866.7,0.1085,Elizabeth Line
Southall,4,13291.0,458.6,5.33,4266.7,0.1075,Elizabeth Line
Paddington TfL,1,91185.33,2550.1,29.67,23733.3,0.1074,Bakerloo/District/Elizabeth Line/H&C and Circle
London Bridge LU,1,98710.7,2200.0,25.92,20733.3,0.1061,Jubilee/Northern
Edmonton Green,4,7173.37,259.9,3.08,2466.7,0.1053,LO Weaver
Theobalds Grove,7,1577.81,89.9,1.08,866.7,0.1038,LO Weaver
Custom House EL,3,16479.92,453.7,5.5,4400.0,0.1031,Elizabeth Line
Brockley,2,7282.19,324.9,4.0,3200.0,0.1015,LO Windrush
Barking,4,29721.09,937.7,11.75,9400.0,0.0998,District/H&C and Circle/LO Suffragette
East Putney,2/3,10667.0,572.1,7.33,5866.7,0.0975,District
Brentwood,9,6805.79,402.5,5.33,4266.7,0.0943,Elizabeth Line
Vauxhall LU,1/2,37954.4,1318.6,17.67,14133.3,0.0933,Victoria
Southfields,3,9521.29,541.0,7.33,5866.7,0.0922,District
Hackney Downs,2,4414.22,178.1,2.42,1933.3,0.0921,LO Weaver
Carpenders Park,7,2443.82,143.6,2.0,1600.0,0.0898,LO Lioness
High Barnet,5,6484.57,307.0,4.33,3466.7,0.0886,Northern
Emerson Park,6,949.74,70.1,1.0,800.0,0.0877,LO Liberty
Hainault,4,5336.69,261.5,3.75,3000.0,0.0872,Central
St James Street,3,2517.79,135.8,2.0,1600.0,0.0849,LO Weaver
Honor Oak Park,3,4624.82,269.4,4.0,3200.0,0.0842,LO Windrush
Rickmansworth,7,3437.85,176.0,2.67,2133.3,0.0825,Metropolitan
Harold Wood,6,6869.2,351.6,5.42,4333.3,0.0811,Elizabeth Line
Tooting Broadway,3,20941.67,886.2,13.67,10933.3,0.0811,Northern
Gidea Park,6,6191.16,379.0,5.92,4733.3,0.0801,Elizabeth Line
Uxbridge,6,9506.56,254.9,4.0,3200.0,0.0797,Metropolitan/Piccadilly
Parsons Green,2,10255.67,457.8,7.33,5866.7,0.078,District
Edgware,5,6749.63,315.9,5.08,4066.7,0.0777,Northern
Liverpool Street LU,1,132385.88,2374.7,38.42,30733.3,0.0773,Central/Elizabeth Line/H&C and Circle/Metropolitan
Stanmore,5,5357.89,273.1,4.42,3533.3,0.0773,Jubilee
Rectory Road,2,3492.72,182.8,3.0,2400.0,0.0762,LO Weaver
Northolt,5,7197.92,304.5,5.0,4000.0,0.0761,Central
West Hampstead LO,2,7436.57,295.7,4.92,3933.3,0.0752,LO Mildmay
Forest Gate,3,9872.72,357.4,6.0,4800.0,0.0745,Elizabeth Line
Wembley Central,4,8221.42,268.1,4.5,3600.0,0.0745,Bakerloo/LO Lioness
Balham LU,3,16629.32,813.3,13.67,10933.3,0.0744,Northern
Southbury,5,2113.54,69.1,1.17,933.3,0.074,LO Weaver
Chadwell Heath,5,8156.35,347.1,5.92,4733.3,0.0733,Elizabeth Line
West Ruislip,6,2514.08,117.3,2.0,1600.0,0.0733,Central
Chorleywood,7,2530.79,150.1,2.58,2066.7,0.0726,Metropolitan
Chalfont & Latimer,8,2809.92,149.5,2.58,2066.7,0.0723,Metropolitan
Anerley,4,2283.86,114.4,2.0,1600.0,0.0715,LO Windrush
Leyton Midland Road,3,3347.09,113.2,2.0,1600.0,0.0707,LO Suffragette
Tottenham Hale LU,3,22369.66,925.4,16.42,13133.3,0.0705,Victoria
Marylebone LU,1,15151.27,545.8,9.75,7800.0,0.07,Bakerloo
Gants Hill,4,8437.57,372.3,6.67,5333.3,0.0698,Central
Homerton,2,7540.54,282.9,5.08,4066.7,0.0696,LO Mildmay
Clapham High Street,2,2474.19,110.7,2.0,1600.0,0.0692,LO Windrush
Penge West,4,2224.96,110.0,2.0,1600.0,0.0688,LO Windrush
Stoke Newington,2,3727.73,159.9,2.92,2333.3,0.0685,LO Weaver
Woodford,4,7814.29,391.0,7.25,5800.0,0.0674,Central
Heathrow Terminal 5 LU,6,6491.35,80.5,1.5,1200.0,0.067,Piccadilly
New Cross Gate,2,8539.54,212.5,4.0,3200.0,0.0664,LO Windrush
West Ealing,3,5557.98,282.6,5.33,4266.7,0.0662,Elizabeth Line
Silver Street,4,4829.84,158.3,3.0,2400.0,0.066,LO Weaver
Pinner,5,4517.19,315.9,6.0,4800.0,0.0658,Metropolitan
Dalston Junction,2,8200.77,315.6,6.0,4800.0,0.0657,LO Windrush
Harrow-on-the-Hill,5,14106.71,555.7,10.67,8533.3,0.0651,Metropolitan
Finsbury Park LU,2,34416.91,1484.4,29.08,23266.7,0.0638,Piccadilly/Victoria
Upton Park,3,19634.59,612.2,12.0,9600.0,0.0638,District/H&C and Circle
West Hampstead LU,2,15015.24,683.7,13.5,10800.0,0.0633,Jubilee
Hackney Central,2,8778.92,252.2,5.0,4000.0,0.0631,LO Mildmay
North Greenwich,2/3,35656.55,701.0,14.0,11200.0,0.0626,Jubilee
Colindale,4,11039.92,494.9,9.92,7933.3,0.0624,Northern
Stratford,2/3,85569.34,1736.2,35.17,28133.3,0.0617,Central/DLR/Elizabeth Line/Jubilee/LO Mildmay
Nine Elms,1,6987.18,283.4,5.75,4600.0,0.0616,Northern
South Woodford,4,6886.02,327.0,6.67,5333.3,0.0613,Central
Loughton,6,4763.52,248.1,5.08,4066.7,0.061,Central
Tooting Bec,3,11023.77,650.8,13.58,10866.7,0.0599,Northern
Canary Wharf LU,2,59544.35,699.2,14.67,11733.3,0.0596,Jubilee
Queen's Park,2,8836.52,433.2,9.08,7266.7,0.0596,Bakerloo/LO Lioness
Seven Kings,4,7159.84,275.6,5.83,4666.7,0.059,Elizabeth Line
Hatch End,6,1450.29,93.6,2.0,1600.0,0.0585,LO Lioness
Goodmayes,4,7642.67,270.9,5.83,4666.7,0.0581,Elizabeth Line
Chiswick Park,3,3794.54,146.8,3.17,2533.3,0.058,District
Acton Main Line,3,5804.08,250.1,5.42,4333.3,0.0577,Elizabeth Line
East Ham,3/4,18389.68,552.2,12.08,9666.7,0.0571,District/H&C and Circle
Turnpike Lane,3,12919.26,523.0,11.5,9200.0,0.0568,Piccadilly
King's Cross St. Pancras,1,122080.69,2444.9,54.17,43333.3,0.0564,H&C and Circle/Metropolitan/Northern/Piccadilly/Victoria
Archway,2/3,12440.93,489.7,10.92,8733.3,0.0561,Northern
Dalston Kingsland,2,8808.07,224.1,5.0,4000.0,0.056,LO Mildmay
Clapham South,2/3,11173.54,608.6,13.67,10933.3,0.0557,Northern
Newbury Park,4,5827.96,264.8,6.0,4800.0,0.0552,Central
East Finchley,3,9686.06,491.7,11.17,8933.3,0.055,Northern
Hanwell,4,4544.83,229.8,5.33,4266.7,0.0539,Elizabeth Line
Wanstead Park,3,2885.03,84.7,2.0,1600.0,0.0529,LO Suffragette
Golders Green,3,10329.61,420.9,10.0,8000.0,0.0526,Northern
Tower Hill,1,23347.49,543.2,12.92,10333.3,0.0526,District/H&C and Circle
Kensal Rise,2,5586.04,208.5,5.0,4000.0,0.0521,LO Mildmay
Elephant & Castle LU,1/2,24998.82,661.2,16.0,12800.0,0.0517,Bakerloo/Northern
West Kensington,2,6669.47,262.0,6.33,5066.7,0.0517,District
Manor Park,3/4,6999.14,244.4,5.92,4733.3,0.0516,Elizabeth Line
Blackhorse Road,3,16062.24,759.0,18.42,14733.3,0.0515,LO Suffragette/Victoria
Blackfriars LU,1,21986.93,559.3,13.67,10933.3,0.0512,District/H&C and Circle
Maryland,3,7132.28,245.4,6.0,4800.0,0.0511,Elizabeth Line
Shepherd's Bush LU,2,21714.46,552.9,13.58,10866.7,0.0509,Central
Leytonstone High Road,3,2382.92,81.3,2.0,1600.0,0.0508,LO Suffragette
Acton Central,3,2761.33,99.9,2.5,2000.0,0.05,LO Mildmay
Greenford,4,5598.1,223.4,5.58,4466.7,0.05,Central
Elm Park,6,4742.62,254.0,6.42,5133.3,0.0495,District
Wood Green,3,14566.65,452.4,11.5,9200.0,0.0492,Piccadilly
