grafico,serie,label,x,y,unita,fonte,url,affidabilita,nota
g1,prima della dichiarazione OMS,Autonomia personale,2019-12,2.4,importanza relativa (%),Changes in public preferences for technologically enhanced surveillance following the COVID-19 pandemic: a discrete choice experiment,https://pmc.ncbi.nlm.nih.gov/articles/PMC7677347/,A,"Onda pre: 25 nov 2019 - 10 gen 2020, n=793"
g1,quattro settimane dopo,Autonomia personale,2020-02,0.3,importanza relativa (%),Changes in public preferences for technologically enhanced surveillance following the COVID-19 pandemic: a discrete choice experiment,https://pmc.ncbi.nlm.nih.gov/articles/PMC7677347/,A,"Onda post: 4 - 27 feb 2020, n=1215"
g1,prima della dichiarazione OMS,Privacy dei dati,2019-12,8.3,importanza relativa (%),Changes in public preferences for technologically enhanced surveillance following the COVID-19 pandemic: a discrete choice experiment,https://pmc.ncbi.nlm.nih.gov/articles/PMC7677347/,A,Attributo di controllo: tiene
g1,quattro settimane dopo,Privacy dei dati,2020-02,7.4,importanza relativa (%),Changes in public preferences for technologically enhanced surveillance following the COVID-19 pandemic: a discrete choice experiment,https://pmc.ncbi.nlm.nih.gov/articles/PMC7677347/,A,Attributo di controllo: tiene
g2,pew,Necessario rinunciare a libertà civili,2001,55,%,"Pew Research Center, Balancing Act: National Security and Civil Liberties in Post-9/11 Era",https://www.pewresearch.org/short-reads/2013/06/07/balancing-act-national-security-and-civil-liberties-in-post-911-era/,A,Rilevazione dopo gli attentati e prima del Patriot Act
g2,pew,Necessario rinunciare a libertà civili,2011,40,%,"Pew Research Center, Balancing Act: National Security and Civil Liberties in Post-9/11 Era",https://www.pewresearch.org/short-reads/2013/06/07/balancing-act-national-security-and-civil-liberties-in-post-911-era/,A,Maggioranza ribaltata: 54% dice non necessario
g2,pew,Necessario rinunciare a libertà civili,2013,43,%,"Pew Research Center, Balancing Act: National Security and Civil Liberties in Post-9/11 Era",https://www.pewresearch.org/short-reads/2013/06/07/balancing-act-national-security-and-civil-liberties-in-post-911-era/,A,Rilevazione post Snowden
g2,leggi,Paesi con leggi antiterrorismo nuove o riviste,2001,0,paesi,"Human Rights Watch, In the Name of Security (29 giugno 2012)",https://www.hrw.org/report/2012/06/29/name-security/counterterrorism-laws-worldwide-september-11,A,Punto di partenza per costruzione: il conteggio HRW parte dal settembre 2001
g2,leggi,Paesi con leggi antiterrorismo nuove o riviste,2012,144,paesi,"Human Rights Watch, In the Name of Security (29 giugno 2012)",https://www.hrw.org/report/2012/06/29/name-security/counterterrorism-laws-worldwide-september-11,A,"144 paesi; 130 leggi esaminate nel dettaglio, tutte con almeno una disposizione che apre ad abusi"
g2,evento,Risoluzione ONU 1373,2001,,,"Consiglio di Sicurezza ONU, Risoluzione 1373 (28 settembre 2001)",https://unscr.com/en/resolutions/1373/,A,Unico caso in cui il Consiglio impone a tutti gli Stati di modificare la legislazione nazionale
g2,evento,Section 702 rinnovata,2012,,,"Congressional Research Service, FISA Section 702 and the 2024 RISAA",https://www.congress.gov/crs-product/R48592,A,Primo rinnovo della clausola di scadenza
g2,evento,Section 702 rinnovata,2018,,,"Congressional Research Service, FISA Section 702 and the 2024 RISAA",https://www.congress.gov/crs-product/R48592,A,Secondo rinnovo
g2,evento,Section 702 rinnovata e ampliata,2024,,,"Congressional Research Service, FISA Section 702 and the 2024 RISAA",https://www.congress.gov/crs-product/R48592,A,RISAA 20 aprile 2024: allarga la definizione di fornitore di servizi. Nuova scadenza 20 aprile 2026
g3,pandemia,EU Digital COVID Certificate operativo,2021-07,,,"Commissione europea, EU Digital COVID Certificate",https://commission.europa.eu/strategy-and-policy/coronavirus-response/safe-covid-19-vaccines-europeans/eu-digital-covid-certificate_en,A,"Oltre 2,3 miliardi di certificati emessi. Regolamento in vigore dal 1 luglio 2021 al 30 giugno 2023"
g3,mercato unico,Proposta eIDAS 2.0 e portafoglio digitale europeo,2021-06,,,EU Digital Identity Wallet,https://en.wikipedia.org/wiki/EU_Digital_Identity_Wallet,B,Il quadro eIDAS risale al 2014: l'agenda dell'identità digitale precede il COVID
g3,preparazione,Reg. 2022/2371: la Commissione può dichiarare l'emergenza sanitaria UE,2022-11,,,Regolamento (UE) 2022/2371,https://eur-lex.europa.eu/eli/reg/2022/2371/oj/eng,A,Non è una misura d'emergenza: è la normalizzazione della capacità di dichiararla
g3,semplificazione,eIDAS 2.0 approvato: wallet obbligatorio per ogni Stato entro fine 2026,2024-02,,,EU Digital Identity Wallet,https://en.wikipedia.org/wiki/EU_Digital_Identity_Wallet,A,Obbligo di offerta in capo agli Stati membri
g3,preparazione,Emendamenti al Regolamento Sanitario Internazionale OMS,2024-06,,,"Think Global Health, New amendments to the International Health Regulations",https://www.thinkglobalhealth.org/article/new-amendments-international-health-regulations,A,In vigore da settembre 2025. Creano la categoria pandemic emergency
g3,qualsiasi crisi,IMERA adottato (Reg. UE 2024/2747),2024-11,,,"Consiglio UE, Internal Market Emergency and Resilience Act",https://www.consilium.europa.eu/en/policies/internal-market-emergency-and-resilience-act/,A,Adottato l'8 novembre 2024
g3,digitalizzazione,IT-Wallet attivo in Italia,2024-12,,,"ForumPA, IT-Wallet",https://www.forumpa.it/pa-digitale/it-wallet-che-cose-e-come-funzionera-il-nuovo-portafoglio-di-identita-digitale/,B,A febbraio 2025 oltre 7 milioni di documenti attivati da oltre 4 milioni di cittadini
g3,tutela dei minori,AGCOM delibera 96/25/CONS: verifica dell'età,2025-04,,,"Portolano Cavallo, AGCOM adopts new age verification mechanisms",https://portolano.it/en/newsletter/portolano-cavallo-inform-digital-ip/agcom-adopts-new-age-verification-mechanisms-websites-vsps-disseminating-adult-content,B,"Termine di adeguamento 12 novembre 2025, sanzioni fino a 250.000 euro"
g3,preparazione,Accordo OMS sulle pandemie,2025-05,,,Think Global Health,https://www.thinkglobalhealth.org/article/new-amendments-international-health-regulations,A,Adottato dalla 78a Assemblea Mondiale della Sanità
g3,tutela dei minori,UK Online Safety Act: verifica dell'età obbligatoria,2025-07,,,Online age verification in the United Kingdom,https://en.wikipedia.org/wiki/Online_age_verification_in_the_United_Kingdom,B,In vigore dal 25 luglio 2025. A febbraio 2026 Ofcom ha aperto oltre 90 istruttorie e comminato 6 sanzioni
g3,immigrazione,UK: identità digitale obbligatoria annunciata,2025-09,,,"LSE EUROPP, BritCard: the UK digital ID scheme",https://blogs.lse.ac.uk/europpblog/2025/10/09/britcard-uk-digital-id-scheme-eu-mistakes-identity-wallet/,B,Poi annacquato: il governo ha confermato che non sara obbligatorio esibirlo per ottenere un lavoro
g3,qualsiasi crisi,IMERA entra in applicazione,2026-05,,,"Consiglio UE, Internal Market Emergency and Resilience Act",https://www.consilium.europa.eu/en/policies/internal-market-emergency-and-resilience-act/,A,"Ambito: catastrofi naturali, emergenze sanitarie, shock economici, questioni di sicurezza"
g4,stack,Interoperabilità (Reg. 2019/817 e 2019/818),2019-05,,,Regolamento (UE) 2019/818,https://legislation.gov.uk/eur/2019/818/contents?view=plain,A,"Common Identity Repository, European Search Portal e matching biometrico condiviso fra EES, VIS, ETIAS, Eurodac, SIS ed ECRIS-TCN"
g4,stack,Prüm II (Reg. UE 2024/982),2024-04,,,Regolamento (UE) 2024/982,https://eur-lex.europa.eu/eli/reg/2024/982/oj/eng,A,"Aggiunge immagini facciali e schedari di polizia allo scambio automatico transfrontaliero. Prima: solo DNA, impronte, targhe"
g4,stack,AI Act: divieti in vigore (Reg. UE 2024/1689),2025-02,,,"AI Act, articolo 5",https://artificialintelligenceact.eu/article/5/,A,Il divieto di identificazione biometrica remota in tempo reale vale solo per le forze dell'ordine e ha tre eccezioni
g4,stack,ProtectEU: roadmap sull'accesso ai dati cifrati,2025-06,,,"Commissione europea, lawful access to data",https://home-affairs.ec.europa.eu/policies/internal-security/lawful-access-data/encryption_en,A,Capacità di decrittazione di nuova generazione per Europol entro il 2030
g4,stack,Entry Exit System operativo,2025-10,,,"Consiglio UE, avvio EES 12 ottobre 2025",https://www.consilium.europa.eu/en/press/press-releases/2025/10/11/with-start-of-operation-of-new-ees-border-control-system-the-eu-will-strengthen-border-security-and-increase-efficiency-for-travellers/,A,"Volto e impronte di ogni cittadino non europeo a ogni attraversamento della frontiera esterna, 29 paesi. A pieno regime dal 10 aprile 2026"
g4,stack,Eurodac rifuso (Reg. UE 2024/1358),2026-06,,,"Parlamento europeo, Legislative Train: recast Eurodac",https://www.europarl.europa.eu/legislative-train/spotlight-JD22/file-jd-recast-eurodac-regulation,A,Aggiunge immagini facciali. Abbassa l'età di raccolta biometrica da 14 a 6 anni. Accesso ampliato alle forze dell'ordine
g5,stato,Deroga volontaria approvata dal Parlamento europeo,2021-07-06,1,base giuridica attiva,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Chat Control 1.0: i fornitori possono scansionare le comunicazioni. Misura temporanea con scadenza
g5,stato,Il regolamento interinale scade,2026-04-04,0,base giuridica attiva,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Per la prima volta la scansione delle comunicazioni private non ha base giuridica
g5,stato,Il tentativo di bloccare la riproposizione fallisce,2026-07-09,1,base giuridica attiva,"The Register, MEPs fail to prevent Chat Control revival (9 luglio 2026)",https://www.theregister.com/security/2026/07/09/meps_fail_to_prevent_chat_control_snoopfest_revival/,C,Chat Control 1.0 torna in vigore fino al 2028
g5,evento,La Commissione propone la scansione obbligatoria,2022-05-11,,,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Chat Control 2.0: ordini di rilevamento
g5,evento,Il Parlamento respinge la scansione obbligatoria,2023-11,,,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Mandato negoziale del Parlamento europeo
g5,evento,Il Consiglio rimuove l'obbligo di rilevamento,2025-11,,,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,La scansione lato client esce dal testo
g5,evento,Il Consiglio ripresenta la misura come proposta nuova,2026-07-02,,,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Formalmente nuova: non serve rivincere l'argomento nel merito
g5,evento,Il Parlamento la mette in procedura d'urgenza,2026-07-07,,,"Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Due giorni prima del voto
g6,falsi,Segnalazioni automatiche infondate (Svizzera),,80,%,"Polizia federale svizzera, citata in Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Cifra da verificare su fonte primaria
g6,falsi,Segnalazioni NCMEC non confermate nel 2020 (Irlanda),,80,%,"Dato irlandese citato in Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Solo il 20% delle segnalazioni ricevute è stato confermato
g6,falsi,Chat segnalate non azionabili (Commissione UE),,75,%,"Ylva Johansson, allora commissaria agli Affari interni, citata in Patrick Breyer, Chat Control",https://www.patrick-breyer.de/en/posts/chat-control/,C,Su circa 300.000 chat segnalate all'anno in Europa
g7,discesa,Vietare i social agli under 16,1,69,% favorevoli,"Ipsos UK, 2 in 3 support social media ban for under-16s (rilevazione 19-22 giugno 2026, n=1082)",https://www.ipsos.com/en-uk/2-3-support-social-media-ban-under-16s-though-support-softens-if-it-requires-nationwide-id,A,Il principio
g7,discesa,Se comporta caricare un documento per tutti,2,50,% favorevoli,"Ipsos UK, 2 in 3 support social media ban for under-16s (rilevazione 19-22 giugno 2026, n=1082)",https://www.ipsos.com/en-uk/2-3-support-social-media-ban-under-16s-though-support-softens-if-it-requires-nationwide-id,A,Il primo costo concreto
g7,discesa,Se implica vietare le VPN,3,48,% favorevoli,"Ipsos UK, 2 in 3 support social media ban for under-16s (rilevazione 19-22 giugno 2026, n=1082)",https://www.ipsos.com/en-uk/2-3-support-social-media-ban-under-16s-though-support-softens-if-it-requires-nationwide-id,A,Il secondo costo concreto
g8,2004,Porterebbe sempre con sé il documento,2004,83,%,"Ipsos UK, 57% of Britons support national ID card scheme (rilevazione 18-21 luglio 2025, n=1116)",https://www.ipsos.com/en-uk/57-britons-support-national-id-card-scheme-have-significant-concerns-over-data-security-and,A,Picco post 11 settembre
g8,2025,Porterebbe sempre con sé il documento,2025,58,%,"Ipsos UK, 57% of Britons support national ID card scheme (rilevazione 18-21 luglio 2025, n=1116)",https://www.ipsos.com/en-uk/57-britons-support-national-id-card-scheme-have-significant-concerns-over-data-security-and,A,Meno disponibilità di vent'anni fa
g8,2004,Preoccupato per le libertà civili,2004,24,%,"Ipsos UK, 57% of Britons support national ID card scheme (rilevazione 18-21 luglio 2025, n=1116)",https://www.ipsos.com/en-uk/57-britons-support-national-id-card-scheme-have-significant-concerns-over-data-security-and,A,Picco post 11 settembre
g8,2025,Preoccupato per le libertà civili,2025,39,%,"Ipsos UK, 57% of Britons support national ID card scheme (rilevazione 18-21 luglio 2025, n=1116)",https://www.ipsos.com/en-uk/57-britons-support-national-id-card-scheme-have-significant-concerns-over-data-security-and,A,Più diffidenza di vent'anni fa
