paese,serie,anno,v
EU27,partite_correnti_pil,1999,0.192
EU27,partite_correnti_pil,2000,-0.421
EU27,partite_correnti_pil,2001,-0.372
EU27,partite_correnti_pil,2002,0.123
EU27,partite_correnti_pil,2003,0.09
EU27,partite_correnti_pil,2004,0.527
EU27,partite_correnti_pil,2005,0.033
EU27,partite_correnti_pil,2006,-0.272
EU27,partite_correnti_pil,2007,-0.209
EU27,partite_correnti_pil,2008,-1.405
EU27,partite_correnti_pil,2009,0.308
EU27,partite_correnti_pil,2010,0.585
EU27,partite_correnti_pil,2011,0.636
EU27,partite_correnti_pil,2012,1.672
EU27,partite_correnti_pil,2013,2.487
EU27,partite_correnti_pil,2014,2.459
EU27,partite_correnti_pil,2015,2.823
EU27,partite_correnti_pil,2016,3.184
EU27,partite_correnti_pil,2017,3.115
EU27,partite_correnti_pil,2018,2.796
EU27,partite_correnti_pil,2019,2.433
EU27,partite_correnti_pil,2020,2.264
EU27,partite_correnti_pil,2021,2.79
EU27,partite_correnti_pil,2022,0.04
EU27,partite_correnti_pil,2023,2.014
EU27,partite_correnti_pil,2024,2.64
EU27,partite_correnti_pil,2025,1.942
EA19,partite_correnti_pil,1999,-0.507
EA19,partite_correnti_pil,2000,-1.449
EA19,partite_correnti_pil,2001,-0.358
EA19,partite_correnti_pil,2002,0.603
EA19,partite_correnti_pil,2003,0.244
EA19,partite_correnti_pil,2004,0.704
EA19,partite_correnti_pil,2005,0.106
EA19,partite_correnti_pil,2006,-0.164
EA19,partite_correnti_pil,2007,0.04
EA19,partite_correnti_pil,2008,-1.828
EA19,partite_correnti_pil,2009,-0.301
EA19,partite_correnti_pil,2010,-0.32
EA19,partite_correnti_pil,2011,-0.349
EA19,partite_correnti_pil,2012,0.976
EA19,partite_correnti_pil,2013,2.077
EA19,partite_correnti_pil,2014,2.326
EA19,partite_correnti_pil,2015,2.703
EA19,partite_correnti_pil,2016,3.018
EA19,partite_correnti_pil,2017,3.118
EA19,partite_correnti_pil,2018,2.792
EA19,partite_correnti_pil,2019,2.268
EA19,partite_correnti_pil,2020,1.632
EA19,partite_correnti_pil,2021,2.298
BEL,partite_correnti_pil,2003,3.547
BEL,partite_correnti_pil,2004,3.29
BEL,partite_correnti_pil,2005,2.093
BEL,partite_correnti_pil,2006,1.929
BEL,partite_correnti_pil,2007,1.956
BEL,partite_correnti_pil,2008,-1.005
BEL,partite_correnti_pil,2009,1.651
BEL,partite_correnti_pil,2010,1.623
BEL,partite_correnti_pil,2011,-1.926
BEL,partite_correnti_pil,2012,-0.08
BEL,partite_correnti_pil,2013,0.95
BEL,partite_correnti_pil,2014,0.768
BEL,partite_correnti_pil,2015,1.387
BEL,partite_correnti_pil,2016,0.554
BEL,partite_correnti_pil,2017,0.701
BEL,partite_correnti_pil,2018,-0.915
BEL,partite_correnti_pil,2019,0.139
BEL,partite_correnti_pil,2020,0.915
BEL,partite_correnti_pil,2021,1.837
BEL,partite_correnti_pil,2022,-1.944
BEL,partite_correnti_pil,2023,0.194
BEL,partite_correnti_pil,2024,-0.378
BEL,partite_correnti_pil,2025,-1.912
BEL,partite_correnti_pil,2026,-2.282
BEL,partite_correnti_pil,2027,-2.232
DEU,partite_correnti_pil,1991,-1.521
DEU,partite_correnti_pil,1992,-1.256
DEU,partite_correnti_pil,1993,-1.042
DEU,partite_correnti_pil,1994,-1.562
DEU,partite_correnti_pil,1995,-1.322
DEU,partite_correnti_pil,1996,-0.777
DEU,partite_correnti_pil,1997,-0.629
DEU,partite_correnti_pil,1998,-0.767
DEU,partite_correnti_pil,1999,-1.42
DEU,partite_correnti_pil,2000,-1.785
DEU,partite_correnti_pil,2001,-0.45
DEU,partite_correnti_pil,2002,1.692
DEU,partite_correnti_pil,2003,1.233
DEU,partite_correnti_pil,2004,4.255
DEU,partite_correnti_pil,2005,4.398
DEU,partite_correnti_pil,2006,5.506
DEU,partite_correnti_pil,2007,6.492
DEU,partite_correnti_pil,2008,5.409
DEU,partite_correnti_pil,2009,5.604
DEU,partite_correnti_pil,2010,5.563
DEU,partite_correnti_pil,2011,6.117
DEU,partite_correnti_pil,2012,7.016
DEU,partite_correnti_pil,2013,6.543
DEU,partite_correnti_pil,2014,7.235
DEU,partite_correnti_pil,2015,8.101
DEU,partite_correnti_pil,2016,8.909
DEU,partite_correnti_pil,2017,8.062
DEU,partite_correnti_pil,2018,8.421
DEU,partite_correnti_pil,2019,7.873
DEU,partite_correnti_pil,2020,6.318
DEU,partite_correnti_pil,2021,6.909
DEU,partite_correnti_pil,2022,4.074
DEU,partite_correnti_pil,2023,5.509
DEU,partite_correnti_pil,2024,5.893
DEU,partite_correnti_pil,2025,4.536
DEU,partite_correnti_pil,2026,3.875
DEU,partite_correnti_pil,2027,3.421
GRC,partite_correnti_pil,2002,-7.028
GRC,partite_correnti_pil,2003,-8.684
GRC,partite_correnti_pil,2004,-7.907
GRC,partite_correnti_pil,2005,-9.073
GRC,partite_correnti_pil,2006,-11.678
GRC,partite_correnti_pil,2007,-15.414
GRC,partite_correnti_pil,2008,-15.318
GRC,partite_correnti_pil,2009,-12.514
GRC,partite_correnti_pil,2010,-10.129
GRC,partite_correnti_pil,2011,-8.763
GRC,partite_correnti_pil,2012,-3.586
GRC,partite_correnti_pil,2013,-1.453
GRC,partite_correnti_pil,2014,-0.749
GRC,partite_correnti_pil,2015,-0.82
GRC,partite_correnti_pil,2016,-1.748
GRC,partite_correnti_pil,2017,-1.921
GRC,partite_correnti_pil,2018,-2.896
GRC,partite_correnti_pil,2019,-1.472
GRC,partite_correnti_pil,2020,-7.18
GRC,partite_correnti_pil,2021,-7.18
GRC,partite_correnti_pil,2022,-10.747
GRC,partite_correnti_pil,2023,-6.801
GRC,partite_correnti_pil,2024,-7.157
GRC,partite_correnti_pil,2025,-5.669
GRC,partite_correnti_pil,2026,-6.798
GRC,partite_correnti_pil,2027,-5.84
ESP,partite_correnti_pil,1993,-2.16
ESP,partite_correnti_pil,1994,-2.261
ESP,partite_correnti_pil,1995,-1.193
ESP,partite_correnti_pil,1996,-0.796
ESP,partite_correnti_pil,1997,-0.667
ESP,partite_correnti_pil,1998,-1.623
ESP,partite_correnti_pil,1999,-3.202
ESP,partite_correnti_pil,2000,-4.236
ESP,partite_correnti_pil,2001,-4.316
ESP,partite_correnti_pil,2002,-3.661
