anno,debito_pil,saldo_pil,primario_pil,interessi_pil,i_implicito,cresc_nominale,inflazione,sfa_pil,spesa_primaria_pil,entrate_tot_pil,pressione_fiscale,socx_totale
1960,33.342,-0.275,0.815,1.09,3.397,9.415,1.586,0.977,27.048,27.304,,
1961,31.453,-0.572,0.47,1.042,3.525,12.829,4.021,1.33,26.199,26.511,,
1962,30.279,-0.946,-0.005,0.941,3.373,12.697,5.343,1.424,27.297,27.318,,
1963,28.26,-0.302,0.522,0.824,3.138,15.261,8.515,1.688,28.027,27.802,,
1964,28.075,-2.354,-2.021,0.332,1.297,10.292,6.091,0.098,29.181,28.786,,
1965,29.135,-2.673,-2.013,0.659,2.538,8.09,3.333,0.489,30.995,28.264,24.524,
1966,33.817,-1.587,-0.869,0.718,2.693,9.257,2.413,5.563,30.884,28.258,24.316,
1967,33.368,-0.968,-0.188,0.779,2.559,11.036,3.084,1.945,30.343,29.145,25.207,
1968,35.729,-2.545,-1.32,1.225,3.99,8.7,1.286,2.487,30.915,29.678,25.949,
1969,36.3,-2.85,-1.571,1.279,3.96,10.59,3.748,1.142,30.32,28.842,25.36,
1970,36.924,-3.221,-1.9,1.321,4.11,12.941,6.512,1.563,30.598,28.804,24.705,
1971,41.398,-4.713,-3.198,1.515,4.481,9.215,7.479,2.877,32.386,29.342,25.326,
1972,47.005,-6.836,-5.129,1.707,4.522,9.644,6.013,2.412,34.085,29.179,25.239,
1973,49.966,-6.358,-4.479,1.878,4.818,20.581,12.989,4.626,32.848,28.576,22.999,
1974,49.594,-6.237,-4.01,2.227,5.635,26.466,20.387,3.848,32.047,28.24,24.102,
1975,55.995,-10.276,-7.417,2.859,6.606,14.587,17.42,2.438,35.573,28.493,24.385,
1976,55.657,-7.878,-4.643,3.236,7.256,25.57,17.741,3.186,34.263,29.878,25.29,
1977,54.837,-6.957,-3.438,3.519,7.683,21.524,18.921,2.081,34.369,31.158,25.774,
1978,59.056,-8.472,-4.304,4.167,8.948,17.742,14.425,4.011,36.027,32.0,25.927,
1979,57.946,-8.229,-4.117,4.112,8.521,22.379,15.935,1.46,35.356,31.508,25.131,
1980,55.853,-6.8,-2.5,4.3,9.268,24.897,21.143,2.658,35.609,33.205,28.558,17.282
1981,58.053,-10.6,-5.6,5.0,10.73,19.866,19.202,0.857,38.66,33.176,29.675,18.623
1982,62.591,-9.7,-3.3,6.4,13.017,18.073,17.89,3.724,39.381,36.121,31.754,19.085
1983,68.627,-9.8,-2.2,7.6,14.151,16.545,15.477,5.121,40.252,38.114,33.638,20.104
1984,73.964,-11.1,-3.0,8.1,13.502,14.396,11.051,2.874,39.981,37.02,32.814,19.679
1985,79.944,-12.0,-3.8,8.2,12.451,12.308,9.44,2.086,40.546,36.821,32.334,20.001
1986,84.129,-11.6,-3.1,8.5,11.777,10.764,7.842,0.353,40.786,37.783,33.828,20.0
1987,88.061,-11.1,-3.5,7.6,9.896,9.542,6.282,0.16,41.156,37.655,33.918,20.218
1988,89.788,-10.7,-2.7,8.0,10.107,11.254,6.945,-0.065,41.298,38.659,34.456,20.076
1989,92.291,-11.0,-2.2,8.8,10.77,9.883,6.422,-0.421,41.644,39.445,35.384,20.238
1990,94.291,-11.0,-1.3,9.7,11.626,10.62,8.47,-0.14,42.017,40.693,36.187,20.588
1991,97.573,-11.0,0.0,11.0,12.747,9.27,7.72,0.282,41.762,41.794,36.581,20.958
1992,104.16,-10.0,1.8,11.8,12.734,5.293,4.538,1.492,42.396,44.196,38.831,21.683
1993,114.08,-9.7,2.5,12.2,12.073,3.08,3.948,3.331,42.933,45.464,40.412,21.949
1994,120.077,-8.7,2.2,10.9,10.108,5.794,3.644,3.545,41.522,43.676,38.493,21.931
1995,119.088,-7.2,3.9,11.1,10.041,8.622,5.784,1.342,40.347,44.248,38.367,21.007
1996,118.896,-6.6,4.4,11.0,9.771,5.777,4.373,-0.287,40.349,44.741,40.082,
1997,116.491,-3.0,6.1,9.1,8.0,4.519,2.544,-0.265,40.225,46.344,41.47,
1998,113.887,-3.0,4.8,7.8,6.978,4.216,2.369,-0.891,40.204,45.018,39.836,
1999,113.059,-1.8,4.6,6.4,5.798,3.18,1.477,0.882,40.677,45.302,40.71,
2000,108.743,-2.4,3.7,6.1,5.703,5.706,1.756,-0.613,40.268,43.948,40.054,
