paese,serie,anno,valore
DNK,pil_pc,1960,125.4545
DNK,pil_pc,1961,132.5285
DNK,pil_pc,1962,138.9528
DNK,pil_pc,1963,138.7408
DNK,pil_pc,1964,150.3951
DNK,pil_pc,1965,156.0254
DNK,pil_pc,1966,159.0201
DNK,pil_pc,1967,166.9481
DNK,pil_pc,1968,175.4456
DNK,pil_pc,1969,186.4526
DNK,pil_pc,1970,187.66
DNK,pil_pc,1971,192.6268
DNK,pil_pc,1972,198.8016
DNK,pil_pc,1973,206.9296
DNK,pil_pc,1974,203.9821
DNK,pil_pc,1975,200.5275
DNK,pil_pc,1976,212.0121
DNK,pil_pc,1977,215.5187
DNK,pil_pc,1978,220.0468
DNK,pil_pc,1979,228.3919
DNK,pil_pc,1980,226.3811
DNK,pil_pc,1981,224.8212
DNK,pil_pc,1982,233.7235
DNK,pil_pc,1983,240.1231
DNK,pil_pc,1984,250.6835
DNK,pil_pc,1985,261.0088
DNK,pil_pc,1986,273.0137
DNK,pil_pc,1987,273.8556
DNK,pil_pc,1988,274.4794
DNK,pil_pc,1989,276.2799
DNK,pil_pc,1990,280.4074
DNK,pil_pc,1991,283.7345
DNK,pil_pc,1992,288.5245
DNK,pil_pc,1993,287.2813
DNK,pil_pc,1994,301.5459
DNK,pil_pc,1995,309.2373
DNK,pil_pc,1996,316.2505
DNK,pil_pc,1997,324.8849
DNK,pil_pc,1998,331.2942
DNK,pil_pc,1999,340.0162
DNK,pil_pc,2000,351.4913
DNK,pil_pc,2001,353.5854
DNK,pil_pc,2002,353.9911
DNK,pil_pc,2003,354.6328
DNK,pil_pc,2004,363.5667
DNK,pil_pc,2005,371.0795
DNK,pil_pc,2006,383.9521
DNK,pil_pc,2007,386.0637
DNK,pil_pc,2008,382.1902
DNK,pil_pc,2009,361.2146
DNK,pil_pc,2010,365.2938
DNK,pil_pc,2011,368.564
DNK,pil_pc,2012,367.1886
DNK,pil_pc,2013,370.8107
DNK,pil_pc,2014,373.5473
DNK,pil_pc,2015,378.7838
DNK,pil_pc,2016,387.2686
DNK,pil_pc,2017,396.589
DNK,pil_pc,2018,401.9596
DNK,pil_pc,2019,407.2173
DNK,pil_pc,2020,399.093
DNK,pil_pc,2021,423.2403
DNK,pil_pc,2022,421.3782
DNK,pil_pc,2023,420.9609
DNK,pil_pc,2024,433.5008
DNK,pil_pc,2025,443.8954
DNK,pil_pc,2026,450.8427
DNK,pil_pc,2027,457.2829
ITA,pil_pc,1960,9.1519
ITA,pil_pc,1961,9.8606
ITA,pil_pc,1962,10.4779
ITA,pil_pc,1963,11.0484
ITA,pil_pc,1964,11.3918
ITA,pil_pc,1965,11.8164
ITA,pil_pc,1966,12.5084
ITA,pil_pc,1967,13.3762
ITA,pil_pc,1968,14.2649
ITA,pil_pc,1969,15.1198
ITA,pil_pc,1970,15.9478
ITA,pil_pc,1971,16.1299
ITA,pil_pc,1972,16.588
ITA,pil_pc,1973,17.583
ITA,pil_pc,1974,18.3504
ITA,pil_pc,1975,17.8011
ITA,pil_pc,1976,18.8904
ITA,pil_pc,1977,19.222
ITA,pil_pc,1978,19.7089
ITA,pil_pc,1979,20.7443
ITA,pil_pc,1980,21.3432
ITA,pil_pc,1981,21.4363
ITA,pil_pc,1982,21.4537
ITA,pil_pc,1983,21.6443
ITA,pil_pc,1984,22.2914
ITA,pil_pc,1985,22.8691
ITA,pil_pc,1986,23.4875
ITA,pil_pc,1987,24.2054
ITA,pil_pc,1988,25.1685
ITA,pil_pc,1989,25.9676
ITA,pil_pc,1990,26.4602
ITA,pil_pc,1991,26.8224
ITA,pil_pc,1992,26.998
ITA,pil_pc,1993,26.7562
ITA,pil_pc,1994,27.3056
ITA,pil_pc,1995,28.0377
ITA,pil_pc,1996,28.407
ITA,pil_pc,1997,28.9387
ITA,pil_pc,1998,29.4524
ITA,pil_pc,1999,29.9416
ITA,pil_pc,2000,31.0898
ITA,pil_pc,2001,31.6926
ITA,pil_pc,2002,31.717
ITA,pil_pc,2003,31.567
ITA,pil_pc,2004,31.7947
ITA,pil_pc,2005,31.8506
ITA,pil_pc,2006,32.2943
ITA,pil_pc,2007,32.5678
ITA,pil_pc,2008,31.9869
ITA,pil_pc,2009,30.1149
ITA,pil_pc,2010,30.4405
ITA,pil_pc,2011,30.5463
ITA,pil_pc,2012,29.5108
ITA,pil_pc,2013,28.9164
ITA,pil_pc,2014,28.9117
ITA,pil_pc,2015,29.2118
ITA,pil_pc,2016,29.6293
ITA,pil_pc,2017,30.1611
ITA,pil_pc,2018,30.4739
ITA,pil_pc,2019,30.6806
ITA,pil_pc,2020,28.0963
ITA,pil_pc,2021,30.7638
ITA,pil_pc,2022,32.3123
ITA,pil_pc,2023,32.6268
ITA,pil_pc,2024,32.8972
ITA,pil_pc,2025,33.0804
ITA,pil_pc,2026,33.2683
ITA,pil_pc,2027,33.4864
SWE,pil_pc,1960,157.2417
SWE,pil_pc,1961,165.4233
SWE,pil_pc,1962,171.5876
SWE,pil_pc,1963,179.6661
SWE,pil_pc,1964,190.4553
SWE,pil_pc,1965,195.8393
SWE,pil_pc,1966,198.0582
SWE,pil_pc,1967,203.227
SWE,pil_pc,1968,209.3633
SWE,pil_pc,1969,218.292
SWE,pil_pc,1970,230.321
SWE,pil_pc,1971,230.8002
SWE,pil_pc,1972,235.4119
SWE,pil_pc,1973,244.4067
SWE,pil_pc,1974,251.497
SWE,pil_pc,1975,257.0128
SWE,pil_pc,1976,258.8966
SWE,pil_pc,1977,253.8511
SWE,pil_pc,1978,257.6692
SWE,pil_pc,1979,266.8776
SWE,pil_pc,1980,273.1429
SWE,pil_pc,1981,272.2601
SWE,pil_pc,1982,275.4941
SWE,pil_pc,1983,280.5955
SWE,pil_pc,1984,292.1827
SWE,pil_pc,1985,298.0302
SWE,pil_pc,1986,305.3199
SWE,pil_pc,1987,314.5077
SWE,pil_pc,1988,321.1031
SWE,pil_pc,1989,327.4155
SWE,pil_pc,1990,327.3426
SWE,pil_pc,1991,321.4133
SWE,pil_pc,1992,315.8202
SWE,pil_pc,1993,307.6462
SWE,pil_pc,1994,317.4235
SWE,pil_pc,1995,328.7548
SWE,pil_pc,1996,333.8865
SWE,pil_pc,1997,343.9451
SWE,pil_pc,1998,358.3459
SWE,pil_pc,1999,373.158
SWE,pil_pc,2000,389.8342
SWE,pil_pc,2001,394.0066
SWE,pil_pc,2002,401.6267
SWE,pil_pc,2003,407.7653
SWE,pil_pc,2004,423.1196
SWE,pil_pc,2005,433.3358
SWE,pil_pc,2006,450.7774
SWE,pil_pc,2007,462.1219
SWE,pil_pc,2008,454.2748
SWE,pil_pc,2009,431.2747
SWE,pil_pc,2010,452.1609
SWE,pil_pc,2011,462.9222
SWE,pil_pc,2012,457.6882
SWE,pil_pc,2013,458.9553
SWE,pil_pc,2014,464.7432
SWE,pil_pc,2015,480.0796
SWE,pil_pc,2016,484.5625
SWE,pil_pc,2017,486.703
SWE,pil_pc,2018,489.5986
SWE,pil_pc,2019,497.0508
SWE,pil_pc,2020,484.1729
SWE,pil_pc,2021,506.4244
SWE,pil_pc,2022,507.3573
SWE,pil_pc,2023,502.8717
SWE,pil_pc,2024,506.4818
SWE,pil_pc,2025,512.2191
