TIME_PERIOD,IT,DE,ES
2009-01,4.621,3.07,4.146
2009-02,4.536,3.13,4.234
2009-03,4.458,3.02,4.062
2009-04,4.356,3.13,4.011
2009-05,4.415,3.37,4.057
2009-06,4.606,3.47,4.246
2009-07,4.373,3.34,4.014
2009-08,4.116,3.31,3.792
2009-09,4.088,3.26,3.806
2009-10,4.101,3.21,3.777
2009-11,4.057,3.22,3.789
2009-12,4.007,3.14,3.807
2010-01,4.078,3.26,3.993
2010-02,4.047,3.17,3.981
2010-03,3.945,3.1,3.83
2010-04,3.996,3.06,3.903
2010-05,3.985,2.73,4.083
2010-06,4.102,2.54,4.556
2010-07,4.026,2.62,4.433
2010-08,3.802,2.35,4.038
2010-09,3.862,2.3,4.094
2010-10,3.8,2.35,4.039
2010-11,4.184,2.53,4.69
2010-12,4.603,2.91,5.376
2011-01,4.729,3.02,5.38
2011-02,4.736,3.2,5.262
2011-03,4.875,3.21,5.253
2011-04,4.841,3.34,5.333
2011-05,4.756,3.06,5.322
2011-06,4.816,2.89,5.481
2011-07,5.463,2.74,5.825
2011-08,5.271,2.21,5.252
2011-09,5.746,1.83,5.2
2011-10,5.972,2.0,5.255
2011-11,7.057,1.87,6.195
2011-12,6.812,1.93,5.531
2012-01,6.537,1.82,5.405
2012-02,5.546,1.85,5.109
2012-03,5.049,1.83,5.17
2012-04,5.676,1.62,5.791
2012-05,5.783,1.34,6.125
2012-06,5.904,1.3,6.591
2012-07,5.996,1.24,6.794
2012-08,5.822,1.34,6.58
2012-09,5.254,1.49,5.913
2012-10,4.953,1.47,5.644
2012-11,4.851,1.34,5.69
2012-12,4.542,1.3,5.343
2013-01,4.208,1.51,5.053
2013-02,4.493,1.54,5.216
2013-03,4.64,1.35,4.92
2013-04,4.278,1.2,4.591
2013-05,3.964,1.29,4.247
2013-06,4.379,1.53,4.67
2013-07,4.418,1.56,4.668
2013-08,4.419,1.73,4.502
2013-09,4.541,1.89,4.416
2013-10,4.248,1.76,4.217
2013-11,4.095,1.68,4.102
2013-12,4.114,1.8,4.133
2014-01,3.866,1.76,3.785
2014-02,3.651,1.56,3.563
2014-03,3.399,1.51,3.313
2014-04,3.228,1.46,3.105
2014-05,3.123,1.33,2.932
2014-06,2.92,1.26,2.715
2014-07,2.794,1.11,2.675
2014-08,2.633,0.95,2.407
2014-09,2.4,0.92,2.195
2014-10,2.424,0.79,2.115
2014-11,2.29,0.72,2.072
2014-12,1.99,0.59,1.783
2015-01,1.702,0.39,1.543
2015-02,1.557,0.3,1.518
2015-03,1.294,0.23,1.229
2015-04,1.357,0.12,1.31
2015-05,1.812,0.56,1.784
2015-06,2.199,0.79,2.223
2015-07,2.042,0.71,2.1
2015-08,1.839,0.61,1.957
2015-09,1.92,0.65,2.025
2015-10,1.696,0.52,1.725
2015-11,1.57,0.52,1.719
2015-12,1.579,0.55,1.685
