TIME_PERIOD,DEU,ESP,FRA,GBR,ITA,USA
1991,56518.1,51353.1,45473.8,45146.5,55456.7,57079.1
1992,59843.1,53250.9,45910.5,46033.5,55403.0,58402.0
1993,60277.0,54101.5,46517.1,46779.0,54549.6,58073.0
1994,60431.2,54666.5,46718.1,47604.5,53843.2,57851.0
1995,61681.9,53581.7,47456.0,47603.9,52664.5,58179.0
1996,62376.5,54419.0,47622.7,47579.5,53133.2,59029.7
1997,62135.0,54385.5,48213.5,49449.0,54604.4,60503.8
1998,62828.8,54747.2,48885.3,50183.0,54825.4,62995.9
1999,63666.0,54654.6,49937.9,52653.4,55433.1,64655.6
2000,64046.3,53409.4,50339.1,55157.8,55459.4,66815.0
2001,64480.2,53110.5,50648.7,57492.8,55828.5,67327.7
2002,64713.4,53347.4,52015.6,58055.7,55314.0,67869.7
2003,64930.2,53088.4,52520.4,59889.8,55025.1,68599.8
2004,64917.4,52420.5,53347.6,61631.1,56146.1,69870.1
2005,64992.3,52654.8,54078.4,62290.7,56742.2,69934.9
2006,65126.9,52435.7,54664.2,63365.4,57067.2,70982.4
2007,64872.0,53018.0,54959.1,66143.9,56982.0,72325.8
2008,65150.0,54943.9,54812.1,64362.8,56972.4,72147.1
2009,65320.0,58456.1,56617.1,64187.0,57296.5,72870.3
2010,65868.7,58022.5,57666.8,64481.5,57789.7,73515.2
2011,67016.6,57002.3,57738.8,63186.3,56917.0,73617.0
2012,67819.4,55608.5,58100.3,62666.3,55107.2,74243.1
2013,68439.9,55491.8,58654.5,63111.4,55257.0,73913.1
2014,69545.7,55361.9,59030.9,63362.3,55531.2,75074.8
2015,71244.0,56334.1,59484.5,64198.6,56043.4,76999.2
2016,72398.2,56012.4,60120.2,65002.3,56266.2,77129.2
2017,73176.6,55305.6,60947.6,65436.1,55769.5,77970.6
2018,74155.5,55186.1,60671.8,65566.1,55440.3,78892.6
2019,75376.2,56009.1,61289.2,66480.0,55581.1,80317.6
2020,74806.6,55379.9,58327.3,65540.6,52901.3,85170.6
2021,74656.7,57624.7,60851.7,66465.9,55577.0,86695.8
2022,73053.7,56683.1,61044.4,65134.6,53955.0,84215.0
2023,72953.4,56285.8,59611.0,64603.2,52732.4,83866.3
2024,74854.1,57082.9,59864.8,65842.0,53243.0,85546.0
