date,benzina_eur_L,diesel_eur_L
2026-03-23,1.7787,2.0232
2026-03-16,1.8192,2.0335
2026-03-09,1.7452,1.8692
2026-03-02,1.6704,1.7207
2026-02-23,1.6546,1.7018
2026-02-16,1.6483,1.6955
2026-02-09,1.6449,1.6910
2026-02-02,1.6416,1.6819
2026-01-26,1.6350,1.6735
2026-01-19,1.6262,1.6607
2026-01-12,1.6273,1.6604
2026-01-05,1.6547,1.6442
2025-12-29,1.6789,1.6286
2025-12-22,1.6900,1.6425
2025-12-15,1.7080,1.6651
2025-12-08,1.7182,1.6843
2025-12-01,1.7272,1.7014
2025-11-24,1.7307,1.7026
2025-11-17,1.7195,1.6828
2025-11-10,1.7055,1.6543
2025-11-03,1.6948,1.6323
2025-10-27,1.6835,1.6088
2025-10-20,1.6903,1.6158
2025-10-13,1.6993,1.6254
2025-10-06,1.7089,1.6360
2025-09-29,1.7117,1.6377
2025-09-22,1.7135,1.6383
2025-09-15,1.7108,1.6348
2025-09-08,1.7053,1.6301
2025-09-01,1.6968,1.6225
2025-08-25,1.6954,1.6220
2025-08-18,1.7013,1.6314
2025-08-11,1.7093,1.6414
2025-08-04,1.7127,1.6489
2025-07-28,1.7206,1.6604
2025-07-21,1.7272,1.6637
2025-07-14,1.7288,1.6628
2025-07-07,1.7335,1.6637
2025-06-30,1.7472,1.6759
2025-06-23,1.7341,1.6431
2025-06-16,1.6966,1.5937
2025-06-09,1.6898,1.5856
2025-06-02,1.6930,1.5916
2025-05-26,1.6978,1.5986
2025-05-19,1.6987,1.5912
2025-05-12,1.6897,1.5786
2025-05-05,1.6968,1.5895
2025-04-28,1.7052,1.5988
2025-04-21,1.7161,1.6097
2025-04-14,1.7387,1.6324
2025-04-07,1.7612,1.6572
2025-03-31,1.7618,1.6595
2025-03-24,1.7673,1.6669
2025-03-17,1.7821,1.6833
2025-03-10,1.8018,1.7038
2025-03-03,1.8161,1.7191
2025-02-24,1.8236,1.7269
2025-02-17,1.8246,1.7273
2025-02-10,1.8235,1.7304
2025-02-03,1.8235,1.7304
2025-01-27,1.8313,1.7395
2025-01-20,1.8231,1.7269
2025-01-13,1.7931,1.6924
2025-01-06,1.7726,1.6719
2024-12-30,1.7567,1.6560
2024-12-23,1.7546,1.6533
2024-12-16,1.7504,1.6478
2024-12-09,1.7571,1.6554
2024-12-02,1.7637,1.6615
2024-11-25,1.7581,1.6489
2024-11-18,1.7539,1.6344
2024-11-11,1.7564,1.6353
2024-11-04,1.7565,1.6319
2024-10-28,1.7621,1.6355
2024-10-21,1.7653,1.6453
2024-10-14,1.7575,1.6400
2024-10-07,1.7314,1.6124
2024-09-30,1.7348,1.6155
2024-09-23,1.7430,1.6222
2024-09-16,1.7594,1.6357
2024-09-09,1.7823,1.6555
2024-09-02,1.7958,1.6681
2024-08-26,1.8110,1.6842
2024-08-19,1.8221,1.6984
2024-08-12,1.8280,1.7052
2024-08-05,1.8386,1.7172
2024-07-29,1.8515,1.7306
2024-07-22,1.8622,1.7424
2024-07-15,1.8698,1.7510
2024-07-08,1.8715,1.7517
2024-07-01,1.8597,1.7375
2024-06-24,1.8456,1.7158
2024-06-17,1.8444,1.6943
2024-06-10,1.8507,1.6950
2024-06-03,1.8651,1.7109
2024-05-27,1.8739,1.7224
2024-05-20,1.8829,1.7333
2024-05-13,1.8986,1.7533
2024-05-06,1.9123,1.7752
2024-04-29,1.9146,1.7899
2024-04-22,1.9205,1.8025
2024-04-15,1.9137,1.8069
2024-04-08,1.9008,1.7988
2024-04-01,1.8872,1.7931
2024-03-25,1.8772,1.8007
2024-03-18,1.8514,1.7900
2024-03-11,1.8527,1.8007
2024-03-04,1.8520,1.8127
2024-02-26,1.8590,1.8264
2024-02-19,1.8639,1.8326
2024-02-12,1.8400,1.8015
2024-02-05,1.8267,1.7856
2024-01-29,1.8119,1.7669
2024-01-22,1.7778,1.7341
2024-01-15,1.7689,1.7245
2024-01-08,1.7737,1.7305
2024-01-01,1.7720,1.7307
2023-12-25,1.7659,1.7321
2023-12-18,1.7659,1.7321
2023-12-11,1.7801,1.7537
2023-12-04,1.7971,1.7734
2023-11-27,1.8053,1.7854
2023-11-20,1.8157,1.7965
2023-11-13,1.8350,1.8243
2023-11-06,1.8542,1.8477
2023-10-30,1.8728,1.8653
2023-10-23,1.8955,1.8837
2023-10-16,1.9187,1.8973
2023-10-09,1.9627,1.9216
2023-10-02,1.9916,1.9321
2023-09-25,2.0019,1.9382
2023-09-18,1.9973,1.9240
2023-09-11,1.9696,1.8767
2023-09-04,1.9545,1.8556
2023-08-28,1.9477,1.8473
2023-08-21,1.9462,1.8453
2023-08-14,1.9391,1.8277
2023-08-07,1.9292,1.7964
2023-07-31,1.8980,1.7461
2023-07-24,1.8640,1.7096
2023-07-17,1.8596,1.7033
2023-07-10,1.8448,1.6838
2023-07-03,1.8465,1.6850
2023-06-26,1.8524,1.6903
2023-06-19,1.8410,1.6773
2023-06-12,1.8314,1.6684
2023-06-05,1.8222,1.6614
2023-05-29,1.8185,1.6623
2023-05-22,1.8075,1.6503
2023-05-15,1.8116,1.6541
2023-05-08,1.8348,1.6799
2023-05-01,1.8575,1.7108
2023-04-24,1.8780,1.7456
2023-04-17,1.8857,1.7665
2023-04-10,1.8753,1.7672
2023-04-03,1.8581,1.7667
2023-03-27,1.8509,1.8007
2023-03-20,1.8553,1.8018
2023-03-13,1.8599,1.8126
2023-03-06,1.8528,1.8091
2023-02-27,1.8565,1.8217
2023-02-20,1.8600,1.8366
2023-02-13,1.8597,1.8532
2023-02-06,1.8724,1.8970
2023-01-30,1.8713,1.9123
2023-01-23,1.8295,1.8751
2023-01-16,1.8136,1.8637
2023-01-09,1.8120,1.8681
2023-01-02,1.8271,1.8908
2022-12-26,1.6252,1.6898
2022-12-19,1.6630,1.7171
2022-12-12,1.7016,1.7701
2022-12-05,1.6894,1.7647
2022-11-28,1.6598,1.7479
2022-11-21,1.6971,1.8099
2022-11-14,1.7099,1.8525
2022-11-07,1.6877,1.8586
2022-10-31,1.6777,1.8655
2022-10-24,1.6912,1.8801
2022-10-17,1.6976,1.8827
2022-10-10,1.6598,1.7890
2022-10-03,1.6328,1.7383
2022-09-26,1.6561,1.7617
2022-09-19,1.6915,1.8031
2022-09-12,1.7222,1.8278
2022-09-05,1.7466,1.8384
2022-08-29,1.7615,1.8087
2022-08-22,1.7493,1.7444
2022-08-15,1.7702,1.7565
2022-08-08,1.8306,1.8113
2022-08-01,1.8772,1.8517
2022-07-25,1.9375,1.8945
2022-07-18,1.9887,1.9409
2022-07-11,2.0284,1.9816
2022-07-04,2.0651,2.0225
2022-06-27,2.0740,2.0338
2022-06-20,2.0635,2.0060
2022-06-13,2.0143,1.9353
2022-06-06,1.9405,1.8515
2022-05-30,1.8855,1.8128
2022-05-23,1.8731,1.8199
2022-05-16,1.8231,1.8280
2022-05-09,1.8083,1.8306
2022-05-02,1.7783,1.7911
2022-04-25,1.7663,1.7674
2022-04-11,1.7654,1.7606
2022-04-04,1.7927,1.7882
2022-03-28,1.8704,1.8579
2022-03-21,2.1372,2.1246
2022-03-14,2.1846,2.1546
2022-03-07,1.9531,1.8293
2022-02-28,1.8689,1.7405
2022-02-21,1.8499,1.7224
2022-02-14,1.8353,1.7082
2022-02-07,1.8193,1.6906
2022-01-31,1.7967,1.6673
2022-01-24,1.7786,1.6471
2022-01-17,1.7543,1.6202
2022-01-10,1.7334,1.5980
2022-01-03,1.7231,1.5879
2021-12-20,1.7225,1.5871
2021-12-13,1.7253,1.5904
2021-12-06,1.7329,1.5978
2021-11-29,1.7428,1.6075
2021-11-22,1.7469,1.6113
2021-11-15,1.7496,1.6129
2021-11-08,1.7508,1.6138
2021-11-01,1.7492,1.6131
2021-10-25,1.7458,1.6079
2021-10-18,1.7338,1.5932
2021-10-11,1.7131,1.5671
2021-10-04,1.6869,1.5367
2021-09-27,1.6764,1.5235
2021-09-20,1.6707,1.5166
2021-09-13,1.6621,1.5101
2021-09-06,1.6552,1.5041
2021-08-30,1.6502,1.5000
2021-08-23,1.6524,1.5034
2021-08-16,1.6562,1.5077
2021-08-09,1.6574,1.5100
2021-08-02,1.6555,1.5102
2021-07-26,1.6536,1.5106
2021-07-19,1.6553,1.5128
2021-07-12,1.6496,1.5079
2021-07-05,1.6343,1.4945
2021-06-28,1.6246,1.4858
2021-06-21,1.6145,1.4742
2021-06-14,1.6055,1.4648
2021-06-07,1.5990,1.4576
2021-05-31,1.5900,1.4480
2021-05-24,1.5924,1.4513
2021-05-17,1.5931,1.4526
2021-05-10,1.5878,1.4472
2021-05-03,1.5789,1.4388
2021-04-26,1.5770,1.4376
2021-04-19,1.5745,1.4357
2021-04-12,1.5735,1.4352
2021-03-29,1.5753,1.4403
2021-03-22,1.5788,1.4450
2021-03-15,1.5662,1.4361
2021-03-08,1.5497,1.4212
2021-03-01,1.5366,1.4084
2021-02-22,1.5185,1.3909
2021-02-15,1.5004,1.3729
2021-02-08,1.4889,1.3607
2021-02-01,1.4800,1.3506
2021-01-25,1.4762,1.3465
2021-01-18,1.4660,1.3395
2021-01-11,1.4501,1.3250
2020-12-21,1.4276,1.3043
2020-12-14,1.4125,1.2883
2020-12-07,1.4093,1.2838
2020-11-30,1.4036,1.2752
2020-11-23,1.3932,1.2641
2020-11-16,1.3855,1.2553
2020-11-09,1.3783,1.2487
2020-11-02,1.3839,1.2548
2020-10-26,1.3877,1.2585
2020-10-19,1.3891,1.2605
2020-10-12,1.3886,1.2610
2020-10-05,1.3882,1.2627
2020-09-28,1.3895,1.2649
2020-09-21,1.3887,1.2674
2020-09-14,1.3920,1.2743
2020-09-07,1.3985,1.2816
2020-08-31,1.4001,1.2852
2020-08-24,1.3997,1.2856
2020-08-17,1.3982,1.2845
2020-08-10,1.3977,1.2843
2020-08-03,1.4017,1.2883
2020-07-27,1.4036,1.2897
2020-07-20,1.4046,1.2908
2020-07-13,1.4038,1.2903
2020-07-06,1.4008,1.2878
2020-06-29,1.3992,1.2855
2020-06-22,1.3854,1.2731
2020-06-15,1.3778,1.2665
2020-06-08,1.3710,1.2604
2020-06-01,1.3715,1.2608
2020-05-25,1.3668,1.2564
2020-05-18,1.3567,1.2474
2020-05-11,1.3620,1.2528
2020-05-04,1.3743,1.2671
2020-04-27,1.3916,1.2871
2020-04-20,1.4113,1.3064
2020-04-06,1.4368,1.3280
2020-03-30,1.4565,1.3478
2020-03-23,1.4775,1.3685
2020-03-16,1.4966,1.3890
2020-03-09,1.5223,1.4142
2020-03-02,1.5402,1.4322
2020-02-24,1.5455,1.4394
2020-02-17,1.5471,1.4414
2020-02-10,1.5547,1.4507
2020-02-03,1.5705,1.4690
2020-01-27,1.5871,1.4823
2020-01-20,1.5871,1.4886
2020-01-13,1.5938,1.4934
2020-01-06,1.5901,1.4892
2019-12-16,1.5780,1.4744
2019-12-09,1.5804,1.4761
2019-12-02,1.5808,1.4763
2019-11-25,1.5765,1.4702
2019-11-18,1.5738,1.4700
2019-11-11,1.5737,1.4703
2019-11-04,1.5724,1.4692
2019-10-28,1.5719,1.4679
2019-10-21,1.5744,1.4699
2019-10-14,1.5791,1.4729
2019-10-07,1.5855,1.4791
2019-09-30,1.5919,1.4857
2019-09-23,1.5897,1.4831
2019-09-16,1.5705,1.4632
2019-09-09,1.5652,1.4550
2019-09-02,1.5661,1.4550
2019-08-26,1.5687,1.4568
2019-08-19,1.5718,1.4588
