date,benzina_net_eur_L,diesel_net_eur_L
2026-03-23,0.9851,1.1854
2026-03-16,0.8182,0.9939
2026-03-09,0.7576,0.8593
2026-03-02,0.6963,0.7375
2026-02-23,0.6833,0.7220
2026-02-16,0.6782,0.7168
2026-02-09,0.6754,0.7132
2026-02-02,0.6726,0.7057
2026-01-26,0.6672,0.6988
2026-01-19,0.6600,0.6883
2026-01-12,0.6609,0.6881
2026-01-05,0.6834,0.6748
2025-12-29,0.6627,0.7025
2025-12-22,0.6719,0.7140
2025-12-15,0.6866,0.7325
2025-12-08,0.6950,0.7481
2025-12-01,0.7023,0.7622
2025-11-24,0.7052,0.7632
2025-11-17,0.6961,0.7469
2025-11-10,0.6846,0.7236
2025-11-03,0.6758,0.7055
2025-10-27,0.6665,0.6863
2025-10-20,0.6721,0.6920
2025-10-13,0.6795,0.6999
2025-10-06,0.6873,0.7086
2025-09-29,0.6896,0.7100
2025-09-22,0.6911,0.7105
2025-09-15,0.6889,0.7076
2025-09-08,0.6844,0.7038
2025-09-01,0.6774,0.6975
2025-08-25,0.6763,0.6971
2025-08-18,0.6811,0.7048
2025-08-11,0.6877,0.7130
2025-08-04,0.6904,0.7191
2025-07-28,0.6969,0.7285
2025-07-21,0.7024,0.7313
2025-07-14,0.7037,0.7306
2025-07-07,0.7075,0.7313
2025-06-30,0.7188,0.7413
2025-06-23,0.7080,0.7144
2025-06-16,0.6772,0.6739
2025-06-09,0.6717,0.6673
2025-06-02,0.6744,0.6722
2025-05-26,0.6790,0.6779
2025-05-19,0.6790,0.6718
2025-05-12,0.6566,0.6765
2025-05-05,0.6624,0.6855
2025-04-28,0.6693,0.6931
2025-04-21,0.6782,0.7020
2025-04-14,0.6968,0.7207
2025-04-07,0.7152,0.7409
2025-03-31,0.7157,0.7429
2025-03-24,0.7202,0.7489
2025-03-17,0.7324,0.7624
2025-03-10,0.7485,0.7791
2025-03-03,0.7602,0.7917
2025-02-24,0.7664,0.7981
2025-02-17,0.7672,0.7984
2025-02-10,0.7663,0.8009
2025-02-03,0.7663,0.8009
2025-01-27,0.7726,0.8084
2025-01-20,0.7659,0.7981
2025-01-13,0.7414,0.7698
2025-01-06,0.7245,0.7530
2024-12-30,0.7115,0.7400
2024-12-23,0.7098,0.7378
2024-12-16,0.7063,0.7333
2024-12-09,0.7118,0.7395
2024-12-02,0.7172,0.7445
2024-11-25,0.7127,0.7341
2024-11-18,0.7092,0.7223
2024-11-11,0.7112,0.7230
2024-11-04,0.7113,0.7202
2024-10-28,0.7159,0.7231
2024-10-21,0.7186,0.7312
2024-10-14,0.7121,0.7268
2024-10-07,0.6908,0.7042
2024-09-30,0.6936,0.7068
2024-09-23,0.7003,0.7123
2024-09-16,0.7138,0.7233
2024-09-09,0.7325,0.7395
2024-09-02,0.7435,0.7499
2024-08-26,0.7560,0.7631
2024-08-19,0.7651,0.7747
2024-08-12,0.7699,0.7803
2024-08-05,0.7786,0.7902
2024-07-29,0.7892,0.8012
2024-07-22,0.7980,0.8108
2024-07-15,0.8043,0.8179
2024-07-08,0.8056,0.8184
2024-07-01,0.7960,0.8068
2024-06-24,0.7844,0.7890
2024-06-17,0.7834,0.7714
2024-06-10,0.7886,0.7719
2024-06-03,0.8004,0.7850
2024-05-27,0.8076,0.7944
2024-05-20,0.8150,0.8033
2024-05-13,0.8278,0.8197
2024-05-06,0.8390,0.8377
2024-04-29,0.8409,0.8497
2024-04-22,0.8458,0.8601
2024-04-15,0.8402,0.8636
2024-04-08,0.8296,0.8570
2024-04-01,0.8185,0.8523
2024-03-25,0.8103,0.8586
2024-03-18,0.7891,0.8498
2024-03-11,0.7902,0.8586
2024-03-04,0.7896,0.8684
2024-02-26,0.7954,0.8796
2024-02-19,0.7994,0.8847
2024-02-12,0.7798,0.8592
2024-02-05,0.7689,0.8462
2024-01-29,0.7567,0.8309
2024-01-22,0.7288,0.8040
2024-01-15,0.7215,0.7961
2024-01-08,0.7254,0.8011
2024-01-01,0.7241,0.8012
2023-12-25,0.7191,0.8023
2023-12-18,0.7191,0.8023
2023-12-11,0.7307,0.8201
2023-12-04,0.7446,0.8362
2023-11-27,0.7514,0.8460
2023-11-20,0.7599,0.8552
2023-11-13,0.7757,0.8779
2023-11-06,0.7914,0.8971
2023-10-30,0.8067,0.9116
2023-10-23,0.8253,0.9266
2023-10-16,0.8443,0.9378
2023-10-09,0.8804,0.9577
